A1BG	alpha-1-B glycoprotein
FAM3B	D21M16SJHU19e|PRED44|2-21|ORF9|C21orf76|PANDER|family with sequence similarity 3, member B
FAM3C	GS3876|ILEI|family with sequence similarity 3, member C
FAM3D	EF7|OIT1|family with sequence similarity 3, member D
FAM43A	FLJ90022|family with sequence similarity 43, member A
FAM43B	FLJ44952|family with sequence similarity 43, member B
FAM45A	family with sequence similarity 45, member A
FAM46A	FLJ20037|family with sequence similarity 46, member A
FAM46B	MGC16491|family with sequence similarity 46, member B
FAM46C	FLJ20202|family with sequence similarity 46, member C
FAM46D	MGC26999|CT1.26|CT112|family with sequence similarity 46, member D
FAM47A	MGC27003|family with sequence similarity 47, member A
FAM47B	FLJ35782|family with sequence similarity 47, member B
FAM47C	family with sequence similarity 47, member C
FAM47E	FLJ42946|LOC100129583|family with sequence similarity 47, member E
FAM49A	DKFZP566A1524|FLJ11080|family with sequence similarity 49, member A
FAM49B	BM-009|family with sequence similarity 49, member B
FAM50A	DXS9928E|XAP5|HXC-26|9F|family with sequence similarity 50, member A
FAM50B	D6S2654E|X5L|family with sequence similarity 50, member B
FAM53A	DNTNP|family with sequence similarity 53, member A
FAM53B	bA12J10.2|smp|family with sequence similarity 53, member B
FAM53C	family with sequence similarity 53, member C
FAM57A	FLJ22282|CT120|family with sequence similarity 57, member A
FAM57B	DKFZP434I2117|family with sequence similarity 57, member B
FAM58A	MGC29729|FLJ21610|family with sequence similarity 58, member A
FAM60A	TERA|family with sequence similarity 60, member A
FAM63A	FLJ11280|family with sequence similarity 63, member A
FAM63B	KIAA1164|family with sequence similarity 63, member B
FAM64A	FLJ10156|FLJ10491|CATS|RCS1|family with sequence similarity 64, member A
FAM65A	FLJ13725|family with sequence similarity 65, member A
FAM65B	KIAA0386|DIFF48|MYONAP|family with sequence similarity 65, member B
FAM65C	dJ530I15.2|dJ530I15.3|family with sequence similarity 65, member C
FAM69A	FLJ23493|family with sequence similarity 69, member A
FAM69B	MGC20262|C9orf136|family with sequence similarity 69, member B
FAM69C	family with sequence similarity 69, member C
FAM71A	FLJ32796|family with sequence similarity 71, member A
FAM71B	MGC26988|family with sequence similarity 71, member B
FAM71C	MGC39520|family with sequence similarity 71, member C
FAM71D	family with sequence similarity 71, member D
FAM71E1	family with sequence similarity 71, member E1
FAM71E2	DKFZp434G1729|family with sequence similarity 71, member E2
FAM71F1	NYD-SP18|family with sequence similarity 71, member F1
FAM71F2	family with sequence similarity 71, member F2
FAM72A	MGC57827|RP11-312O7.1|family with sequence similarity 72, member A
FAM72B	RP11-439A17.6|family with sequence similarity 72, member B
FAM72C	RP5-998N21.9|family with sequence similarity 72, member C
FAM72D	family with sequence similarity 72, member D
FAM73A	FLJ35093|family with sequence similarity 73, member A
FAM73B	FLJ14596|FLJ00199|family with sequence similarity 73, member B
FAM76A	MGC34648|family with sequence similarity 76, member A
FAM76B	MGC33371|family with sequence similarity 76, member B
FAM78A	FLJ00024|family with sequence similarity 78, member A
FAM78B	family with sequence similarity 78, member B
FAM81A	MGC26690|family with sequence similarity 81, member A
FAM81B	FLJ25333|family with sequence similarity 81, member B
FAM83A	MGC14128|BJ-TSA-9|family with sequence similarity 83, member A
FAM83B	FLJ30642|family with sequence similarity 83, member B
FAM83C	dJ614O4.7|family with sequence similarity 83, member C
FAM83D	dJ616B8.3|family with sequence similarity 83, member D
FAM83E	FLJ20200|family with sequence similarity 83, member E
FAM83F	family with sequence similarity 83, member F
FAM83G	FLJ41564|PAWS1|family with sequence similarity 83, member G
FAM83H	FLJ46072|family with sequence similarity 83, member H
FAM84A	NSE1|FLJ35392|family with sequence similarity 84, member A
FAM84B	BCMP101|NSE2|family with sequence similarity 84, member B
FAM86B1	MGC16279|family with sequence similarity 86, member B1
FAM86B2	family with sequence similarity 86, member B2
FAM86C1	FLJ10661|FLJ27199|family with sequence similarity 86, member C1
FAM89A	MGC15887|family with sequence similarity 89, member A
FAM89B	family with sequence similarity 89, member B
FAM8A1	AHCP|family with sequence similarity 8, member A1
FAM90A1	FLJ10408|family with sequence similarity 90, member A1
FAM91A1	FLJ23790|family with sequence similarity 91, member A1
FAM92A1	FLJ38979|family with sequence similarity 92, member A1
FAM92B	FLJ44299|family with sequence similarity 92, member B
FAM96A	FLJ22875|family with sequence similarity 96, member A
FAM96B	CGI-128|MIP18|family with sequence similarity 96, member B
FAM98A	DKFZP564F0522|family with sequence similarity 98, member A
FAM98B	FLJ38426|family with sequence similarity 98, member B
FAM98C	FLJ44669|family with sequence similarity 98, member C
FAM9A	TEX39A|family with sequence similarity 9, member A
FAM9B	TEX39B|family with sequence similarity 9, member B
FAM9C	TEX39C|family with sequence similarity 9, member C
FAN1	FANCD2/FANCI-associated nuclease 1
FANCA	FAA|FA-H|FAH|Fanconi anemia complementation group A
FANCB	FAB|FLJ34064|FAAP95|Fanconi anemia complementation group B
FANCC	FAC|FA3|Fanconi anemia complementation group C
FANCD2	FAD|FA-D2|Fanconi anemia complementation group D2
FANCD2OS	MGC40179|FANCD2 opposite strand
FANCE	FAE|Fanconi anemia complementation group E
FANCF	FAF|Fanconi anemia complementation group F
FANCG	FAG|Fanconi anemia complementation group G
FANCI	FLJ10719|Fanconi anemia complementation group I
FANCL	FLJ10335|FAAP43|Pog|Fanconi anemia complementation group L
FANCM	FAAP250|Fanconi anemia complementation group M
FANK1	fibronectin type III and ankyrin repeat domains 1
FAP	DPPIV|fibroblast activation protein alpha
FAR1	FLJ22728|SDR10E1|fatty acyl CoA reductase 1
FAR2	FLJ10462|SDR10E2|fatty acyl CoA reductase 2
FARP1	CDEP|PLEKHC2|MGC87400|PPP1R75|FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)
FARP2	KIAA0793|FIR|PLEKHC3|FRG|FERM, RhoGEF and pleckstrin domain protein 2
FARS2	dJ236A3.1|phenylalanyl-tRNA synthetase 2, mitochondrial
FARSA	CML33|phenylalanyl-tRNA synthetase alpha subunit
FARSB	PheHB|FRSB|phenylalanyl-tRNA synthetase beta subunit
FAS	CD95|APO-1|Fas cell surface death receptor
FASLG	FasL|CD178|Fas ligand (TNF superfamily, member 6)
FASN	FAS|SDR27X1|fatty acid synthase
FASTK	FAST|Fas-activated serine/threonine kinase
FASTKD1	FLJ21901|FAST kinase domains 1
FASTKD2	FAST kinase domains 2
FASTKD3	MGC5297|FLJ23274|FAST kinase domains 3
FASTKD5	FLJ13149|FAST kinase domains 5
FAT1	CDHF7|CDHR8|FAT atypical cadherin 1
FAT2	MEGF1|CDHF8|HFAT2|CDHR9|FAT atypical cadherin 2
FAT3	KIAA1989|CDHF15|CDHR10|FAT atypical cadherin 3
FAT4	CDHF14|FAT-J|CDHR11|FAT atypical cadherin 4
FATE1	FATE|CT43|fetal and adult testis expressed 1
FAU	RPS30|FLJ22986|Fub1|Fubi|MNSFbeta|asr1|S30|Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed
FAXC	MGC2817|dJ273F20|failed axon connections homolog
FAXDC2	FLJ13758|fatty acid hydroxylase domain containing 2
FBF1	FLJ00103|FBF-1|KIAA1863|ALB|Fas (TNFRSF6) binding factor 1
FBL	RNU3IP1|FLRN|FIB|fibrillarin
FBLIM1	FBLP-1|CAL|migfilin|filamin binding LIM protein 1
FBLN1	FBLN|fibulin 1
FBLN2	fibulin 2
FBLN5	EVEC|UP50|DANCE|ARMD3|fibulin 5
FBLN7	FLJ37440|TM14|fibulin 7
FBN1	MASS|OCTD|SGS|fibrillin 1
FBN2	DA9|fibrillin 2
FBN3	fibrillin 3
FBP1	fructose-1,6-bisphosphatase 1
FBP2	fructose-1,6-bisphosphatase 2
FBRS	FBS|FLJ11618|fibrosin
FBRSL1	KIAA1545|fibrosin-like 1
FBXL12	FLJ20188|Fbl12|F-box and leucine-rich repeat protein 12
FBXL13	MGC21636|Fbl13|DRC6|F-box and leucine-rich repeat protein 13
FBXL14	MGC40195|Fbl14|F-box and leucine-rich repeat protein 14
FBXL15	MGC11279|Fbl15|F-box and leucine-rich repeat protein 15
FBXL16	MGC33974|Fbl16|F-box and leucine-rich repeat protein 16
FBXL17	DKFZP434C1715|Fbx13|Fbl17|F-box and leucine-rich repeat protein 17
FBXL18	FLJ11467|Fbl18|F-box and leucine-rich repeat protein 18
FBXL19	DKFZp434K0410|Fbl19|JHDM1C|CXXC11|F-box and leucine-rich repeat protein 19
FBXL2	FBL2|FBL3|F-box and leucine-rich repeat protein 2
FBXL20	MGC15482|Fbl2|Fbl20|F-box and leucine-rich repeat protein 20
FBXL21	FBL3B|Fbl21|F-box and leucine-rich repeat protein 21 (gene/pseudogene)
FBXL22	Fbl22|FLJ39626|F-box and leucine-rich repeat protein 22
FBXL3	FBL3|FBL3A|F-box and leucine-rich repeat protein 3
FBXL4	FBL4|FBL5|F-box and leucine-rich repeat protein 4
FBXL5	FBL4|FBL5|FLR1|F-box and leucine-rich repeat protein 5
FBXL6	FBL6|F-box and leucine-rich repeat protein 6
FBXL7	KIAA0840|FBL7|FBL6|F-box and leucine-rich repeat protein 7
FBXL8	Fbl8|F-box and leucine-rich repeat protein 8
FBXO10	FBX10|F-box protein 10
FBXO11	FBX11|UBR6|F-box protein 11
FBXO15	MGC39671|FBX15|F-box protein 15
FBXO16	FBX16|F-box protein 16
FBXO17	FBG4|FLJ25205|MGC9379|FLJ11798|Fbx17|F-box protein 17
FBXO18	FBH1|FLJ14590|Fbx18|F-box protein, helicase, 18
FBXO2	FBX2|Nfb42|Fbs1|Fbg1|F-box protein 2
FBXO21	FBX21|KIAA0875|F-box protein 21
FBXO22	FBX22|FISTC1|F-box protein 22
FBXO24	FBX24|F-box protein 24
FBXO25	FBX25|F-box protein 25
FBXO27	Fbg5|Fbx27|F-box protein 27
FBXO28	FLJ10766|KIAA0483|Fbx28|CENP-30|F-box protein 28
FBXO3	FBX3|FBA|F-box protein 3
FBXO30	MGC21674|Fbx30|F-box protein 30
FBXO31	FBX14|FBXO14|Fbx31|MGC15419|F-box protein 31
FBXO32	MAFbx|ATROGIN1|Fbx32|F-box protein 32
FBXO33	Fbx33|F-box protein 33
FBXO34	FLJ20725|Fbx34|F-box protein 34
FBXO36	Fbx36|FLJ37592|F-box protein 36
FBXO38	MOKA|SP329|FLJ13962|Fbx38|F-box protein 38
FBXO39	MGC35179|Fbx39|CT144|F-box protein 39
FBXO4	FBX4|F-box protein 4
FBXO40	KIAA1195|Fbx40|F-box protein 40
FBXO41	KIAA1940|Fbx41|F-box protein 41
FBXO42	KIAA1332|Fbx42|F-box protein 42
FBXO43	Fbx43|F-box protein 43
FBXO44	FBX30|FBG3|MGC14140|Fbxo6a|Fbx44|F-box protein 44
FBXO45	Fbx45|F-box protein 45
FBXO46	20D7-FC4|Fbx46|F-box protein 46
FBXO47	F-box protein 47
FBXO48	F-box protein 48
FBXO5	FBX5|Fbxo31|EMI1|F-box protein 5
FBXO6	FBX6|FBG2|FBS2|Fbx6b|F-box protein 6
FBXO7	FBX7|Fbx|PARK15|F-box protein 7
FBXO8	FBX8|FBS|F-box protein 8
FBXO9	FBX9|NY-REN-57|F-box protein 9
FBXW10	SM2SH2|HREP|Fbw10|F-box and WD repeat domain containing 10
FBXW11	KIAA0696|Fbw1b|BTRCP2|BTRC2|Hos|Fbw11|F-box and WD repeat domain containing 11
FBXW12	Fbw12|F-box and WD repeat domain containing 12
FBXW2	FBW2|Md6|Fwd2|F-box and WD repeat domain containing 2
FBXW4	Fbw4|dactylin|F-box and WD repeat domain containing 4
FBXW5	DKFZP434B205|MGC20962|Fbw5|F-box and WD repeat domain containing 5
FBXW7	AGO|FLJ11071|SEL-10|SEL10|FBW7|FBX30|CDC4|FBXW6|F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase
FBXW8	FBX29|FBW6|FBW8|F-box and WD repeat domain containing 8
FBXW9	MGC10870|Fbw9|F-box and WD repeat domain containing 9
FCAMR	FKSG87|FCA/MR|CD351|Fc receptor, IgA, IgM, high affinity
FCAR	CD89|Fc fragment of IgA receptor
FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide
FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide
FCER2	CLEC4J|CD23|Fc fragment of IgE, low affinity II, receptor for (CD23)
FCF1	CGI-35|Bka|UTP24|FCF1 rRNA-processing protein
FCGBP	FC(GAMMA)BP|Fc fragment of IgG binding protein
FCGR1A	CD64|CD64A|Fc fragment of IgG, high affinity Ia, receptor (CD64)
FCGR1B	CD64b|Fc fragment of IgG, high affinity Ib, receptor (CD64)
FCGR2A	CD32|CD32A|IGFR2|CDw32|Fc fragment of IgG, low affinity IIa, receptor (CD32)
FCGR2B	CD32|CD32B|Fc fragment of IgG, low affinity IIb, receptor (CD32)
FCGR2C	hFcRII-C|CD32C|Fc fragment of IgG, low affinity IIc, receptor for (CD32) (gene/pseudogene)
FCGR3A	CD16|CD16a|Fc fragment of IgG, low affinity IIIa, receptor (CD16a)
FCGR3B	CD16|CD16b|Fc fragment of IgG, low affinity IIIb, receptor (CD16b)
FCGRT	FCRN|alpha-chain|Fc fragment of IgG, receptor, transporter, alpha
FCHO1	KIAA0290|FCH domain only 1
FCHO2	FCH domain only 2
FCHSD1	FLJ00007|FCH and double SH3 domains 1
FCHSD2	KIAA0769|FCH and double SH3 domains 2
FCMR	TOSO|Fc fragment of IgM receptor
FCN1	FCNM|ficolin (collagen/fibrinogen domain containing) 1
FCN2	P35|FCNL|EBP-37|ficolin-2|ficolin (collagen/fibrinogen domain containing lectin) 2
FCN3	FCNH|HAKA1|ficolin (collagen/fibrinogen domain containing) 3
FCRL1	FCRH1|IRTA5|IFGP1|CD307a|Fc receptor-like 1
FCRL2	FCRH2|IRTA4|CD307b|Fc receptor-like 2
FCRL3	FCRH3|IRTA3|IFGP3|SPAP2a|SPAP2|SPAP2b|SPAP2c|SPAP2d|SPAP2e|CD307c|Fc receptor-like 3
FCRL4	FCRH4|IRTA1|IGFP2|CD307d|Fc receptor-like 4
FCRL5	FCRH5|IRTA2|BXMAS1|CD307e|Fc receptor-like 5
FCRL6	IFGP6|FLJ16056|FcRH6|Fc receptor-like 6
FCRLA	MGC4595|FCRLc2|FCRLb|FCRLc1|FCRLd|FCRLe|FCRL|FCRLa|FREB|FCRLX|Fc receptor-like A
FCRLB	FLJ31052|FCRL2|FREB-2|FCRLY|Fc receptor-like B
FDCSP	FDC-SP|follicular dendritic cell secreted protein
FDFT1	farnesyl-diphosphate farnesyltransferase 1
FDPS	farnesyl diphosphate synthase
FDX1	ADX|ferredoxin 1
FDX1L	MGC19604|ferredoxin 1-like
FDXACB1	LOC91893|hCG_2033039|ferredoxin-fold anticodon binding domain containing 1
FDXR	ferredoxin reductase
FECH	ferrochelatase
FEM1A	fem-1 homolog a (C. elegans)
FEM1B	fem-1 homolog b (C. elegans)
FEM1C	KIAA1785|EUROIMAGE686608|EUROIMAGE783647|FEM1A|fem-1 homolog c (C. elegans)
FEN1	FEN-1|MF1|flap structure-specific endonuclease 1
FER	TYK3|PPP1R74|fer (fps/fes related) tyrosine kinase
FER1L5	DKFZp434I0121|fer-1-like family member 5
FER1L6	C8ORFK23|fer-1-like family member 6
FERD3L	NATO3|N-TWIST|bHLHa31|Fer3-like bHLH transcription factor
FERMT1	FLJ20116|URP1|KIND1|UNC112A|fermitin family member 1
FERMT2	mig-2|KIND2|UNC112B|fermitin family member 2
FERMT3	URP2|KIND3|MIG2B|MGC10966|MIG-2|UNC112C|fermitin family member 3
FES	FPS|FES proto-oncogene, tyrosine kinase
FETUB	fetuin B
FEV	Pet-1|FEV (ETS oncogene family)
FEZ1	fasciculation and elongation protein zeta 1 (zygin I)
FEZ2	fasciculation and elongation protein zeta 2 (zygin II)
FEZF1	FEZ family zinc finger 1
FEZF2	FLJ10142|FKSG36|TOF|FEZL|Zfp312|FEZ family zinc finger 2
FFAR1	FFA1R|free fatty acid receptor 1
FFAR2	FFA2R|free fatty acid receptor 2
FFAR3	FFA3R|free fatty acid receptor 3
FFAR4	PGR4|free fatty acid receptor 4
FGA	fibrinogen alpha chain
FGB	fibrinogen beta chain
FGD1	ZFYVE3|FYVE, RhoGEF and PH domain containing 1
FGD2	ZFYVE4|FYVE, RhoGEF and PH domain containing 2
FGD3	FLJ00004|ZFYVE5|FYVE, RhoGEF and PH domain containing 3
FGD4	FRABP|frabin|ZFYVE6|CMT4H|FYVE, RhoGEF and PH domain containing 4
FGD5	ZFYVE23|FLJ39957|FLJ00274|FYVE, RhoGEF and PH domain containing 5
FGD6	ZFYVE24|FLJ11183|FYVE, RhoGEF and PH domain containing 6
FGF1	AFGF|ECGF|ECGFA|ECGFB|HBGF1|ECGF-beta|FGF-alpha|GLIO703|fibroblast growth factor 1 (acidic)
FGF10	fibroblast growth factor 10
FGF11	FHF3|FLJ16061|MGC45269|MGC102953|fibroblast growth factor 11
FGF12	FHF1|fibroblast growth factor 12
FGF13	FHF2|FGF2|fibroblast growth factor 13
FGF14	FHF4|SCA27|fibroblast growth factor 14
FGF16	fibroblast growth factor 16
FGF17	FGF-13|fibroblast growth factor 17
FGF18	FGF-18|ZFGF5|fibroblast growth factor 18
FGF19	fibroblast growth factor 19
FGF2	fibroblast growth factor 2 (basic)
FGF20	fibroblast growth factor 20
FGF21	fibroblast growth factor 21
FGF22	fibroblast growth factor 22
FGF23	fibroblast growth factor 23
FGF3	HBGF-3|fibroblast growth factor 3
FGF4	K-FGF|HBGF-4|HST|HST-1|KFGF|fibroblast growth factor 4
FGF5	fibroblast growth factor 5
FGF6	fibroblast growth factor 6
FGF7	KGF|fibroblast growth factor 7
FGF8	AIGF|fibroblast growth factor 8 (androgen-induced)
FGF9	fibroblast growth factor 9
FGFBP1	HBP17|FGFBP|fibroblast growth factor binding protein 1
FGFBP2	KSP37|fibroblast growth factor binding protein 2
FGFBP3	MGC39320|fibroblast growth factor binding protein 3
FGFR1	H2|H3|H4|H5|CEK|FLG|BFGFR|N-SAM|CD331|fibroblast growth factor receptor 1
FGFR1OP	FOP|FGFR1 oncogene partner
FGFR1OP2	DKFZp564O1863|FGFR1 oncogene partner 2
FGFR2	CEK3|TK14|TK25|ECT1|K-SAM|CD332|fibroblast growth factor receptor 2
FGFR3	CEK2|JTK4|CD333|fibroblast growth factor receptor 3
FGFR4	JTK2|CD334|fibroblast growth factor receptor 4
FGFRL1	fibroblast growth factor receptor-like 1
FGG	fibrinogen gamma chain
FGGY	FLJ10986|FGGY carbohydrate kinase domain containing
FGL1	HFREP-1|fibrinogen-like 1
FGL2	pT49|T49|fibrinogen-like 2
FGR	c-fgr|p55c-fgr|FGR proto-oncogene, Src family tyrosine kinase
FH	fumarase|fumarate hydratase
FHAD1	KIAA1937|forkhead-associated (FHA) phosphopeptide binding domain 1
FHDC1	KIAA1727|FH2 domain containing 1
FHIT	FRA3B|AP3Aase|fragile histidine triad
FHL1	SLIM1|KYO-T|bA535K18.1|FHL1B|XMPMA|FLH1A|MGC111107|four and a half LIM domains 1
FHL2	SLIM3|DRAL|four and a half LIM domains 2
FHL3	SLIM2|four and a half LIM domains 3
FHL5	FLJ33049|ACT|dJ393D12.2|four and a half LIM domains 5
FHOD1	FHOS|formin homology 2 domain containing 1
FHOD3	FHOS2|KIAA1695|FLJ22297|FLJ22717|formin homology 2 domain containing 3
FIBCD1	FLJ14810|fibrinogen C domain containing 1
FIBIN	MGC24932|fin bud initiation factor homolog (zebrafish)
FIBP	FGFIBP|fibroblast growth factor (acidic) intracellular binding protein
FICD	HYPE|HIP13|FIC domain containing
FIG4	SAC3|hSac3|dJ249I4.1|ALS11|CMT4J|FIG4 phosphoinositide 5-phosphatase
FIGF	VEGF-D|c-fos induced growth factor (vascular endothelial growth factor D)
FIGLA	bHLHc8|folliculogenesis specific bHLH transcription factor
FIGN	fidgetin
FIGNL1	fidgetin-like 1
FILIP1	FILIP|KIAA1275|filamin A interacting protein 1
FILIP1L	DOC-1|GIP130|filamin A interacting protein 1-like
FIP1L1	DKFZp586K0717|FIP1|factor interacting with PAPOLA and CPSF1
FIS1	CGI-135|H_NH0132A01.6|Fis1|fission, mitochondrial 1
FITM1	FIT1|fat storage-inducing transmembrane protein 1
FITM2	dJ881L22.2|FIT2|fat storage-inducing transmembrane protein 2
FIZ1	FLJ14768|ZNF798|FLT3-interacting zinc finger 1
FJX1	FLJ22416|FLJ25593|four jointed box 1
FKBP10	hFKBP65|FLJ22041|FKBP6|FLJ20683|FLJ23833|FK506 binding protein 10, 65 kDa
FKBP11	FKBP19|FK506 binding protein 11, 19 kDa
FKBP14	FLJ20731|FKBP22|FK506 binding protein 14, 22 kDa
FKBP15	PPP1R76|FKBP133|WAFL|FK506 binding protein 15, 133kDa
FKBP1A	FKBP-12|FKBP12|PKC12|PPIASE|FKBP12C|FK506 binding protein 1A, 12kDa
FKBP1B	OTK4|FKBP12.6|PPIase|FKBP9|FK506 binding protein 1B, 12.6 kDa
FKBP2	FKBP-13|PPIase|FK506 binding protein 2, 13kDa
FKBP3	FKBP-25|PPIase|FK506 binding protein 3, 25kDa
FKBP4	FKBP59|FKBP52|FK506 binding protein 4, 59kDa
FKBP5	FKBP51|FKBP54|PPIase|P54|Ptg-10|FK506 binding protein 5
FKBP6	PPIase|FKBP36|FK506 binding protein 6, 36kDa
FKBP7	FKBP23|FK506 binding protein 7
FKBP8	FKBP38|FKBPr38|FK506 binding protein 8, 38kDa
FKBP9	FKBP60|FKBP63|FK506 binding protein 9, 63 kDa
FKBPL	DIR1|NG7|WISp39|FK506 binding protein like
FKRP	LGMD2I|MDC1C|fukutin related protein
FKTN	LGMD2M|fukutin
FLAD1	PP591|FAD1|flavin adenine dinucleotide synthetase 1
FLCN	BHD|MGC17998|MGC23445|folliculin
FLG	filaggrin
FLG2	IFPS|filaggrin family member 2
FLI1	SIC-1|EWSR2|Fli-1 proto-oncogene, ETS transcription factor
FLII	FLI|FLIL|Fli1|MGC39265|flightless I actin binding protein
FLNA	ABP-280|filamin A, alpha
FLNB	TAP|TABP|ABP-278|FH1|filamin B, beta
FLNC	ABP-280|ABPL|filamin C, gamma
FLOT1	flotillin 1
FLOT2	ESA|ESA1|ECS-1|ECS1|flotillin 2
FLRT1	MGC21624|SPG68|fibronectin leucine rich transmembrane protein 1
FLRT2	fibronectin leucine rich transmembrane protein 2
FLRT3	fibronectin leucine rich transmembrane protein 3
FLT1	VEGFR1|fms-related tyrosine kinase 1
FLT3	STK1|FLK2|CD135|fms-related tyrosine kinase 3
FLT3LG	fms-related tyrosine kinase 3 ligand
FLT4	VEGFR3|PCL|fms-related tyrosine kinase 4
FLVCR1	FLVCR|MFSD7B|PCA|feline leukemia virus subgroup C cellular receptor 1
FLVCR2	FLJ20371|MFSD7C|feline leukemia virus subgroup C cellular receptor family, member 2
FLYWCH1	DKFZp761A132|FLYWCH-type zinc finger 1
FLYWCH2	FLYWCH family member 2
FMN1	DKFZP686C2281|FLJ45135|MGC125288|MGC125289|formin 1
FMN2	formin 2
FMNL1	C17orf1|formin-like 1
FMNL2	KIAA1902|formin-like 2
FMNL3	DKFZp762B245|MGC45819|WBP3|formin-like 3
FMO1	flavin containing monooxygenase 1
FMO2	flavin containing monooxygenase 2
FMO3	flavin containing monooxygenase 3
FMO4	flavin containing monooxygenase 4
FMO5	flavin containing monooxygenase 5
FMOD	SLRR2E|fibromodulin
FMR1	FMRP|FRAXA|MGC87458|fragile X mental retardation 1
FMR1NB	FLJ25736|NY-SAR-35|CT37|fragile X mental retardation 1 neighbor
FN1	MSF|CIG|LETS|GFND2|FINC|fibronectin 1
FN3K	fructosamine 3 kinase
FN3KRP	FLJ12171|FN3KL|fructosamine 3 kinase related protein
FNBP1	FBP17|KIAA0554|formin binding protein 1
FNBP1L	TOCA1|FLJ20275|formin binding protein 1-like
FNBP4	KIAA1014|formin binding protein 4
FNDC1	bA243O10.1|KIAA1866|dJ322A24.1|fibronectin type III domain containing 1
FNDC3A	bA203I16.5|KIAA0970|fibronectin type III domain containing 3A
FNDC3B	FAD104|DKFZp762K137|FLJ23399|PRO4979|YVTM2421|fibronectin type III domain containing 3B
FNDC4	FLJ22362|FRCP1|fibronectin type III domain containing 4
FNDC5	FRCP2|fibronectin type III domain containing 5
FNDC7	FLJ35838|fibronectin type III domain containing 7
FNDC8	DKFZp434H2215|fibronectin type III domain containing 8
FNDC9	MGC27121|fibronectin type III domain containing 9
FNIP1	KIAA1961|folliculin interacting protein 1
FNIP2	KIAA1450|FNIPL|MAPO1|folliculin interacting protein 2
FNTA	FPTA|PGGT1A|PTAR2|farnesyltransferase, CAAX box, alpha
FNTB	FPTB|farnesyltransferase, CAAX box, beta
FOCAD	FLJ20375|focadhesin
FOLH1	PSM|PSMA|NAALAD1|NAALAdase|GCP2|GCPII|folate hydrolase (prostate-specific membrane antigen) 1
FOLH1B	PSMAL|GCPIII|folate hydrolase 1B
FOLR1	folate receptor 1 (adult)
FOLR2	folate receptor 2 (fetal)
FOLR3	FR-G|folate receptor 3 (gamma)
FOPNL	DKFZp686N1651|FLJ31153|PHSECRG2|FOR20|FGFR1OP N-terminal like
FOS	c-fos|AP-1|FBJ murine osteosarcoma viral oncogene homolog
FOSB	G0S3|GOSB|GOS3|AP-1|MGC42291|DKFZp686C0818|FBJ murine osteosarcoma viral oncogene homolog B
FOSL1	fra-1|FOS-like antigen 1
FOSL2	FRA2|FLJ23306|FOS-like antigen 2
FOXA1	forkhead box A1
FOXA2	forkhead box A2
FOXA3	forkhead box A3
FOXB1	HFKH-5|FKH5|forkhead box B1
FOXB2	bA159H20.4|forkhead box B2
FOXC1	FREAC3|ARA|IGDA|IHG1|forkhead box C1
FOXC2	MFH-1|forkhead box C2
FOXD1	FREAC4|forkhead box D1
FOXD2	FREAC9|forkhead box D2
FOXD3	Genesis|HFH2|forkhead box D3
FOXD4	FREAC5|FOXD4a|forkhead box D4
FOXD4L1	FOXD5|forkhead box D4-like 1
FOXD4L3	OTTHUMG00000019959|FOXD6|forkhead box D4-like 3
FOXD4L4	bA460E7.2|OTTHUMG00000013337|OTTHUMG00000066752|forkhead box D4-like 4
FOXD4L5	bA15J10.2|OTTHUMG00000013332|forkhead box D4-like 5
FOXD4L6	OTTHUMG00000066822|forkhead box D4-like 6
FOXE1	TTF-2|HFKH4|forkhead box E1
FOXE3	FREAC8|forkhead box E3
FOXF1	FREAC1|forkhead box F1
FOXF2	FREAC2|forkhead box F2
FOXG1	HFK2|QIN|BF1|HFK1|HFK3|HBF-3|forkhead box G1
FOXH1	FAST1|forkhead box H1
FOXI1	FREAC6|forkhead box I1
FOXI2	FLJ46831|forkhead box I2
FOXI3	forkhead box I3
FOXJ1	HFH-4|HFH4|forkhead box J1
FOXJ2	FHX|forkhead box J2
FOXJ3	KIAA1041|forkhead box J3
FOXK1	IMAGE:5164497|forkhead box K1
FOXK2	forkhead box K2
FOXL1	FREAC7|FKH6|forkhead box L1
FOXL2	BPES1|forkhead box L2
FOXL2NB	FLJ43329|FOXL2 neighbor
FOXM1	HFH-11|trident|HNF-3|INS-1|MPP2|MPHOSPH2|TGT3|forkhead box M1
FOXN1	FKHL20|forkhead box N1
FOXN2	forkhead box N2
FOXN3	forkhead box N3
FOXN4	forkhead box N4
FOXO1	FKH1|forkhead box O1
FOXO3	AF6q21|FOXO2|forkhead box O3
FOXO4	AFX1|forkhead box O4
FOXO6	forkhead box O6
FOXP1	QRF1|12CC4|HSPC215|hFKH1B|forkhead box P1
FOXP2	CAGH44|forkhead box P2
FOXP3	JM2|XPID|AIID|PIDX|DIETER|SCURFIN|forkhead box P3
FOXP4	FLJ40908|forkhead box P4
FOXQ1	HFH1|forkhead box Q1
FOXR1	DLNB13|FOXN5|forkhead box R1
FOXR2	MGC21658|FOXN6|forkhead box R2
