NoCell	NoD@ NA
mG/ER|C57BL/6|mG/ER|MEL-GATA-1-ER, This is a mouse suspension cell line derived from MEL cells by stable transfection with a GATA-1-ER fusion protein construct as described by Choe et al., 2003 (Cancer Res 63, 6363-6369, 2003). These cells can be terminally differentiated into mature erythroid cells with -estradiol treatment|Adult 8 weeks	Bld@ MEL
129P2/Ola|Embryonic stem cells|mouse embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6|Th17 polarized cells|Nave T-cells from spleen under Th17 polarizing conditions	Bld@ Th17
Treg Foxp3 ChIP|Foxp3-positive CD4+ T cells|Primary Mouse T cells isolated ex-vivo and sorted	Bld@ CD4-Positive T-Lymphocytes
E14|129/Ola|E14 ES cells	PSC@ Embryonic Stem Cells
V6.5 (129SvJaexC57BL/6)|ES cells|Embryonic stem cells	PSC@ Embryonic Stem Cells
Ainv15 (ATCC SCRC-1029) with inducible V5-tagged Olig2|Pseudo IP against V5	PSC@ mESC derived neural cells
C57BL/6|B cells|B cells|Spleen	Bld@ B-Lymphocytes
Myeloid progenitor cell line Tot2 (derived from Irf8 knockout mouse)|Tot2 cells, MSCV-IRF8 transuced, Day3	Bld@ Tot2
STHdhQ111/Q111 striatal cells|striatal cells derived from  HdhQ111/Q111 knock-in embryonic mice	Neu@ Corpus Striatum
STHdhQ7/Q7 striatal cells|striatal cells derived from wild type HdhQ7/Q7 embryonic mice	Neu@ Corpus Striatum
V19-OSKM|Mouse V19-OSKM Aberrant iPS cells, Utx-/Y, Clone #2	PSC@ iPS cells
V19-OSKM|Mouse V19-OSKM Aberrant iPS cells, Utx-/Y, Clone #1	PSC@ iPS cells
V6.5|Mouse V6.5 ESCs, Utx-/Y	PSC@ Embryonic Stem Cells
C57BL/6|lateral telencephalon|E14.5	Emb@ Embryonic brains
trophoblast stem cells|Blastocyst derived trophoblast stem cells	Plc@ Trophoblast stem cells
C57BL/6|Embryonic stem cells|wild type ES cells	PSC@ Embryonic Stem Cells
neural stem cells|neural stem cells|cerebral cortex	Emb@ Embryonic brains
Chromatin IP against H3K4me3|V6.5 embryonic stem cells	PSC@ Embryonic Stem Cells
129SvJae x C57BL/6|Neural progenitor cells|ES-derived neural progenitor cells	PSC@ mESC derived neural cells
C57BL/6 x 129 Sv|Chromatin IP against SMC1|Mouse Embryonic Fibroblasts (MEF)|E12.5	EmF@ MEF
3T3-L1|3T3-L1 differentiated TNF	EmF@ 3T3-L1
GATA1-deficient cell line with megakaryocyte and erythrocyte differentiation potential|J1|G1ME cells|G1ME	Bld@ G1ME
C57Bl6|Transgenic Hepatocytes|Hepatocytes isolated from adult liver	Liv@ Hepatocytes
129P2/Ola|E14 embryonic stem cells|E14 embryonic stem cells	PSC@ Embryonic Stem Cells
c57BL/6|Whole Thymus|Thymus	Oth@ Thymus
Whole Thymus|Thymus	Oth@ Thymus
C2C12 muscle progenitor cells|Sox3-transfected C2C12 cells	Myo@ C2C12
Round spermatids|Round spermatids	Gon@ Spermatids
mouse Ik knockout DP thymocytes|DP thymocytes	Bld@ CD4 CD8 double positive cells
B6CBAF1/J|Anterior trunk cells|anterior trunk cells	Emb@ Embryonic trunk
C57BL/6|Mature CD8+ T cells|Mature CD8+ T cells from thymus	Bld@ CD8-Positive T-Lymphocytes
C57BL/6|Mature CD4+ T cells|Mature CD4+ T cells from thymus	Bld@ CD4-Positive T-Lymphocytes
Mixed (129-C57Bl/6)|ES_H3K27me3_ChIPseq|Embryonic stem cells	PSC@ Embryonic Stem Cells
Mixed (129-C57Bl/6)|ES_CTCF_ChIPseq|Embryonic stem cells	PSC@ Embryonic Stem Cells
E12.5 heart apex. 120 hearts|heart apex	Emb@ Embryonic heart
CD1|whole heart|whole heart	CDV@ Heart
Mutant liver|liver	Liv@ Liver
C57BL/6|Kdm5a f/f ES cells|embryonic stem cells	PSC@ Embryonic Stem Cells
129Sv-C57Bl/6|Neuronal Progenitor (NP) Cells wildtype|Neuronal Progenitor (NP) Cells	PSC@ mESC derived neural cells
C57BL/6|CD4+ T cells|CD4+ T cells stimulated by IL-6 and IL23	Bld@ CD4-Positive T-Lymphocytes
C57BL/6|Embryonic stem cells knockout for Eed|embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6|A12 (E2A-/- T cell)|double-positive T cell	Bld@ T-Lymphocytes
C57BL/6|RAG1-/- pro-B cell|pro-B cell	Bld@ B-Lymphocytes
C57BL/6|PUER cells|PUER cells	Bld@ PUER
C57BL/6|Whole Brain|Whole Brain	Neu@ Brain
C57BL/6|mouse embryonic fibroblasts (MEF)	EmF@ MEF
ZHBTc4 mES cells|ZHBTc4 mES cells	PSC@ ZHBTc4
C57BL/6  H3.3-EYFP / H3.3B|Embryonic stem cells|C6 embryonic stem cells	PSC@ Embryonic Stem Cells
Embyonic stem cells (V6.5)	PSC@ Embryonic Stem Cells
ES cells|N/A|N/A|N/A|N/A	PSC@ Embryonic Stem Cells
C57BL/6J|brain|postnatal day 29	Neu@ Brain
C57BL/6J|liver|embryonic day 15.5	Emb@ Embryobic liver
C57BL/6J|liver|postnatal day 0.5	Liv@ Liver
C57BL/6J|liver|postnatal day 29	Liv@ Liver
C57BL/6J|brain|postnatal day 4	Neu@ Brain
C57BL/6J|liver|embryonic day 18.5	Emb@ Embryobic liver
C57BL/6J|brain|embryonic day 18.5	Emb@ Embryonic brains
C57BL/6J|brain|postnatal day 22	Neu@ Brain
C57BL/6J|liver|postnatal day 4	Liv@ Liver
C57BL/6J|brain|embryonic day 15.5	Emb@ Embryonic brains
C57BL/6J|brain|postnatal day 0.5	Neu@ Brain
C57BL/6J|liver|postnatal day 22	Liv@ Liver
C57/BL6|Erythroid|Fetal liver|Ter119+ differentiated erythrocytes	Bld@ Erythroblasts
C57/BL6|Erythroid|Fetal liver|Ter119- proerythroblasts	Bld@ Erythroblasts
B cells (CD19+ sorted)|N/A|N/A|N/A	Bld@ B-Lymphocytes
C57BL/6|midbrain|midbrain	Neu@ Midbrain
megakaryocyte cells	Bld@ Megakaryocytes
NOD/ShiLtJ|Microglia	Neu@ Microglia
CD1|Spermatocytes|P12	Gon@ Spermatocytes
C2C12|C3H|myoblasts	Myo@ C2C12
NA|3T3-F442A adipocytes	EmF@ 3T3-F442A
HL1|Cardiomyocytes|Cardiomyocytes	Oth@ HL-1
SV129|RPE|retina	Oth@ Retina
C57BL/6|Conditional Jmjd2c knockout ESCs|Conditional Jmjd2c knockout ESCs	PSC@ Embryonic Stem Cells
facial mesenchyme|11.5	Emb@ Embryonic face
TT2-shTet1	PSC@ Embryonic Stem Cells
TT2-shScr	PSC@ Embryonic Stem Cells
TT2|TT2	PSC@ Embryonic Stem Cells
C57Bl/6J|Testis	Gon@ Testis
C57BL/6|Liver|liver	Liv@ Liver
CB6F1/J F1 Hybrids|peritoneal thioglycolate-elicited macrophages	Bld@ Macrophages
C57BL/6	Unc@ Unclassified
C57Bl/6	Unc@ Unclassified
C2C12|C2C12	Myo@ C2C12
bone marrow cells	Bld@ Bone Marrow Cells
CD1|Immature Megakaryocytes|Immature Megakaryocytes|liver	Bld@ Megakaryocytes
mK4|CD1|mK4 Cells	EmF@ mK3
mK3|CD1|mK3 Cells	EmF@ mK3
C57BL/6J|Spleen	Spl@ Spleen
C57Bl/6J|Anti-DMC1 B6_testis_SSDS|testis	Gon@ Testis
Spermatocyte|Spermatocyte	Gon@ Spermatocytes
all brain cells|Brain|Postnatal|not yet visible|neurological	Neu@ Brain
C57/BL6|hepatocyte|liver	Liv@ Hepatocytes
neural stem cell|embryo	Neu@ Neural Stem Cells
C57BL/6|Bone-marrow derived macrophages|unstimulated bone marrow derived macrophages	Bld@ Macrophages
129/Ola|ESC differentiated day 6 cells|ESC differentiated cells	PSC@ mESC, differentiated
129/Ola|ESC differentiated day 4 cells|ESC differentiated cells	PSC@ mESC, differentiated
C57BL/6|placenta tissue embryonic day 17.5 (E17.5)|placenta	Plc@ Placenta
p30-GMP-blast cells|Tertiary, transplanted leukemia used for examinations; Whole bone marrow, cKIT enriched, FACs isolated	Bld@ Bone Marrow Cells
C57BL/6|Epididymal white adipose tissue|Epididymal white adipose tissue	Adp@ White adipocytes
C57BL/6|Brown adipose tissue|Brown adipose tissue	Adp@ Brown adipocytes
E16.5 sorted germ cells|sorted germ cells	Emb@ Embryonic germ cells
129S1/CastEiJ x 129S1|Embryonic stem cells|differentiating ES cell (day 3)	PSC@ mESC, differentiated
129S1/CastEiJ x 129S1|Embryonic stem cells|undifferentiating ES cell (day 0)	PSC@ mESC, differentiated
129S1/CastEiJ x 129S1|Embryonic stem cells|undifferentiated ES cell (day 0)	PSC@ mESC, differentiated
CD1|cortex|cortex tissue|E11.5	Emb@ Embryonic brains
G1E_BRD4 +GATA1|GATA1 null erythroblasts (G1E)	Bld@ Erythroblasts
G1E_BRD4 G1E|GATA1 null erythroblasts (G1E)	Bld@ Erythroblasts
G1E_GATA1 +JQ1|GATA1 null erythroblasts (G1E)	Bld@ Erythroblasts
G1E_GATA1 control|GATA1 null erythroblasts (G1E)	Bld@ Erythroblasts
129SVE(129S6)|GC B cells|Germinal Center B cells purified from spleen	Bld@ B-Lymphocytes
129SVE(129S6)|CSR activated B cells|splenic B cells actvated with antiCD40 plus IL4 at Day 2.5	Bld@ B-Lymphocytes
G1ME|G1ME_GATA1s_ChIP_input|immortalized, developmentally arrested megakaryocyte-erythroid progenitors (MEPs) derived from in vitro differentiation of murine Gata1-ES cells	Bld@ G1ME
G1ME|G1ME_GATA1fl_ChIP_input|immortalized, developmentally arrested megakaryocyte-erythroid progenitors (MEPs) derived from in vitro differentiation of murine Gata1-ES cells	Bld@ G1ME
G1ME|G1ME_GATA1s_ChIP|immortalized, developmentally arrested megakaryocyte-erythroid progenitors (MEPs) derived from in vitro differentiation of murine Gata1-ES cells	Bld@ G1ME
G1ME|G1ME_GATA1fl_ChIP|immortalized, developmentally arrested megakaryocyte-erythroid progenitors (MEPs) derived from in vitro differentiation of murine Gata1-ES cells	Bld@ G1ME
CD1|Mouse hair follicle TACs|Hair follicle TACs|p30	Epd@ Hair Follicle
CD1|Mouse hair follicle stem cells|Hair follicle bulge stem cells|p56	Epd@ Hair Follicle
K14-H2B-iRFP|primary HFSCs|cultured HFSCs|integrin 6, CD34 and Sca1, iRFP	Epd@ Hair Follicle
3134|Pol II ChIP-Seq Mock 60 min Cort Constant|mouse mammary cells	Brs@ 3134
3134|Pol II ChIP-Seq Mock 60 min Cort Pulsed|mouse mammary cells	Brs@ 3134
3134|Pol II ChIP-Seq Mock 0 min Cort|mouse mammary cells	Brs@ 3134
Lineage(-)Sca1(+)cKit(+) cells|Murine MLL-AF9 leukemic cells	Bld@ MLL-AF9 leukemic cell
Neuro-2a|dCas9-noED + S2 gRNA|neuroblastoma	Neu@ Neuro-2a
Neuro-2a|dCas9-noED + S1 gRNA|neuroblastoma	Neu@ Neuro-2a
Wehi-231|(BALB/c x NZB)F1|Wehi-231-TFII-I KD|B cell lymphoma	Bld@ WEHI-231
Wehi-231|(BALB/c x NZB)F1|Wehi-231-CT|B cell lymphoma	Bld@ WEHI-231
Swiss|cells from preantral follicles maintained for 9 days in vitro|cells from preantral follicles maintained for 9 days in vitro|ovary	Epd@ Hair Follicle
F123|mouse embryonic stem cell|mouse embryonic stem cell	PSC@ Embryonic Stem Cells
C57BL/6|cultured cerebellar granule neurons|cultured cerebellar granule neurons|GNP + 3DIV	Neu@ Cerebellar granule neurons
C57BL/6|C57BL/6_liver_old_Hdac3 ChIP-seq|liver	Liv@ Liver
C57BL/6|C57BL/6_liver_young_Hdac3 ChIP-seq|liver	Liv@ Liver
embryonic stem cells, TC11, ZNF91 plasmid, H3K4me3 ChIP	PSC@ Embryonic Stem Cells
embryonic stem cells, TC11, empty vector, H3K4me3 ChIP	PSC@ Embryonic Stem Cells
NMRI|limb buds|E10.5	Emb@ Embryonic limb
OG2/129SV|mouse embryonic fibroblasts	EmF@ MEF
iPSC|SNEL #4	PSC@ iPS cells
iPSC|SNEL #3	PSC@ iPS cells
iPSC|OSKM #8	PSC@ iPS cells
iPSC|OSKM #4	PSC@ iPS cells
Mouse embryonic fibroblasts|NGFP2	EmF@ MEF
iPSC|NGFP iPSC	PSC@ iPS cells
iPSC|partially reprogrammed colony 44	PSC@ iPS cells
iPSC|partially reprogrammed colony 23	PSC@ iPS cells
mouse embryonic stem cells|mESCs|E14	PSC@ Embryonic Stem Cells
Apc Min small intestinal adenoma|small intestinal adenoma	Dig@ Intestinal adenoma
WT small intestinal crypts|Small intestinal crypts	Dig@ Crypt
miwi2HET_SomaticCellsTestis_MACS_H3K9me3|testicular somatic cells, MACS-sorted	Gon@ Testicular somatic cells
mixed C57BL/6 CD1|KO_ES cells|ES cells	PSC@ Embryonic Stem Cells
mouse adipocyte|3T3L1	EmF@ 3T3-L1
thymocytes, WT, Zfp335/NIF1 ChIP|total thymocytes	Bld@ Thymocytes
J1|129S4/SvJae|Embryonic stem cells (J1)|embryonic stem cells	PSC@ Embryonic Stem Cells
ES3|C57BL/6|Embryonic stem cells (ES3)|embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6|mouse primary hepatocyte|mouse primary hepatocyte	Liv@ Hepatocytes
C57BL/6|Intestinal Epithelial Cells|Duodenum	Dig@ Duodenum
H3K9/14ac WT P6|cerebellum|Postnatal day 6	Neu@ Cerebellum
H3K4me3 WT P6|cerebellum|Postnatal day 6	Neu@ Cerebellum
H3K27ac KO P22|cerebellum|Postnatal day 22	Neu@ Cerebellum
H3K27ac WT P22|cerebellum|Postnatal day 22	Neu@ Cerebellum
H3K9/14ac KO P22|cerebellum|Postnatal day 22	Neu@ Cerebellum
H3K9/14ac WT P22|cerebellum|Postnatal day 22	Neu@ Cerebellum
H3K4me3 KO P22|cerebellum|Postnatal day 22	Neu@ Cerebellum
H3K4me3 WT P22|cerebellum|Postnatal day 22	Neu@ Cerebellum
129 X C57bl/6|Embryonic Stem Cells|HA-H3.3 inducible mouseES (KH2) cells	PSC@ Embryonic Stem Cells
Plasmacytoid dendritic cell (pDC)|Plasmacytoid dendritic cell (pDC)	Bld@ Dendritic Cells
Classical dendritic cell (cDC)|Classical dendritic cell (cDC)	Bld@ Dendritic Cells
Common dendritic cell progenitor (CDP)|Common dendritic cell progenitor (CDP)	Bld@ Dendritic Cells
Multipotent progenitor (MPP)|Multipotent progenitor (MPP)	Bld@ Hematopoietic Stem Cells
Ezh2 fl/fl.CD4Cre|Th0.Ezh2KO.ChIP-seq|in vitro neutrally activated Th0 cell	Bld@ Th0
Ezh2 fl/fl|Th0.Ezh2ff.ChIP-seq|in vitro neutrally activated Th0 cell	Bld@ Th0
3T3-L1|3T3-L1 pre-adipocytes (4h)	EmF@ 3T3-L1
neuronal progenitor cells, mock treatment|neuronal progenitor cells	PSC@ mESC derived neural cells
mouse E17.5 Cortex|Cortex|Embryonic Day 17.5	Emb@ Embryonic brains
TS cell|Trophoblast stem (TS) cells	Plc@ Trophoblast stem cells
mixed background|lung|lung	Lng@ Lung
129S1/CastEiJ x 129S1|SV40T transformed fibroblasts|ATRX knockdown transformed embryonic fibroblasts	EmF@ MEF
C57BL/6|Primary gd T cells|gamma delta T cells|thymus	Bld@ T-Lymphocytes
ES cell|missing	PSC@ Embryonic Stem Cells
C57BL/6|Ventral Proliferating neural stem cells|SVZ derived neural stem cells	Neu@ Neural Stem Cells
C57BL/6|Proliferating Neural Stem Cells|SVZ derived neural stem cells	Neu@ Neural Stem Cells
C57BL/6|30 hr differentiation Neural Stem Cells|SVZ derived neural stem cells	Neu@ Neural Stem Cells
Ainv15 (ATCC SCRC-1029) with Dox-inducible Cdx2-V5 construct|endoderm|endoderm	PSC@ mESC derived endoodermal cells
ZHBTc4|129/Ola|ZHBTc4 ES cells, +Tet, Day 4	PSC@ ZHBTc4
ZHBTc4|129/Ola|ZHBTc4 ES cells, +Tet, Day 3	PSC@ ZHBTc4
ZHBTc4|129/Ola|ZHBTc4 ES cells, +Tet, Day 2	PSC@ ZHBTc4
ZHBTc4|129/Ola|ZHBTc4 ES cells, +Tet, Day 1	PSC@ ZHBTc4
ZHBTc4|129/Ola|ZHBTc4 ES cells, untreated	PSC@ ZHBTc4
C57BL/6|EL4 cells|EL-4 cells	Bld@ EL4
Foxp3GFPKO (het female)|Foxp3GFPKO (het female)|Primary Mouse T cells isolated ex-vivo and sorted	Bld@ T-Lymphocytes
Foxp3GFPKO (male)|Foxp3GFPKO (male)|Primary Mouse T cells isolated ex-vivo and sorted	Bld@ T-Lymphocytes
Tnaive|Tnaive|Primary Mouse T cells isolated ex-vivo and sorted	Bld@ Th0
T effector|T effector|Primary Mouse T cells isolated ex-vivo and sorted	Bld@ T-Lymphocytes
Resting Treg|Resting Treg|Primary Mouse T cells isolated ex-vivo and sorted	Bld@ T-Lymphocytes
RING1A-/-;RING1Bfl/fl Embryonic stem cells, tamoxifen-treated, H3K27me3 ChIP|Ring1A(-/-);Ring1B(fl/fl);R26::CreERT2 ES cells	PSC@ Embryonic Stem Cells
RING1A-/-;RING1Bfl/fl Embryonic stem cells, untreated control, H3K27me3 ChIP|Ring1A(-/-);Ring1B(fl/fl);R26::CreERT2 ES cells	PSC@ Embryonic Stem Cells
RING1A-/-;RING1Bfl/fl Embryonic stem cells, tamoxifen-treated, EZH2 ChIP|Ring1A(-/-);Ring1B(fl/fl);R26::CreERT2 ES cells	PSC@ Embryonic Stem Cells
RING1A-/-;RING1Bfl/fl Embryonic stem cells, untreated control, EZH2 ChIP|Ring1A(-/-);Ring1B(fl/fl);R26::CreERT2 ES cells	PSC@ Embryonic Stem Cells
RING1A-/-;RING1Bfl/fl Embryonic stem cells, tamoxifen-treated, SUZ12 ChIP|Ring1A(-/-);Ring1B(fl/fl);R26::CreERT2 ES cells	PSC@ Embryonic Stem Cells
RING1A-/-;RING1Bfl/fl Embryonic stem cells, untreated control, SUZ12 ChIP|Ring1A(-/-);Ring1B(fl/fl);R26::CreERT2 ES cells	PSC@ Embryonic Stem Cells
RING1A-/-;RING1Bfl/fl Embryonic stem cells, tamoxifen-treated, RING1B ChIP|Ring1A(-/-);Ring1B(fl/fl);R26::CreERT2 ES cells	PSC@ Embryonic Stem Cells
RING1A-/-;RING1Bfl/fl Embryonic stem cells, untreated control, RING1B ChIP|Ring1A(-/-);Ring1B(fl/fl);R26::CreERT2 ES cells	PSC@ Embryonic Stem Cells
RING1A-/-;RING1Bfl/fl Embryonic stem cells, untreated control, sonicated control|Ring1A(-/-);Ring1B(fl/fl);R26::CreERT2 ES cells	PSC@ Embryonic Stem Cells
ESC E14|embryonic stem cells|E14	PSC@ Embryonic Stem Cells
129S4/SvJae|Dcr Knockout mouse embryonic stem cells|embryonic stem cells	PSC@ Embryonic Stem Cells
129S4/SvJae|Dcr Wild type mouse embryonic stem cells|embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6|A2lox FMsgn1 embryonic stem cells	PSC@ Embryonic Stem Cells
B6CBAF1/J|Pre-somitic mesoderm E8.5|Pre-somitic mesoderm cells	Emb@ Pre-somitic mesoderm
E14|ES cells|Embryonic stem cells	PSC@ Embryonic Stem Cells
YAP-ERMS mouse cell line|YAP-driven tumors under Myf5-Cre or Pax7-CreER cells	Unc@ Unclassified
olfactory epithelium_ChIP-seq|olfactory epithelium	Oth@ Olfactory epithelium
CD-1|Maxillary arch Cells|Maxillary arch|E11.5	Emb@ Embryonic face
V6.5|C57BL/6-129|embryonic stem cells|embryonic stem cells	PSC@ Embryonic Stem Cells
Rif1 knockdown ESCs|mouse ESCs	PSC@ Embryonic Stem Cells
Control ESCs|mouse ESCs	PSC@ Embryonic Stem Cells
IDG-SW3|RXR_125_IDGSW3_d35|osteocytic cells	Bon@ IDG-SW3
IDG-SW3|RXR_veh_IDGSW3_d35|osteocytic cells	Bon@ IDG-SW3
IDG-SW3|VDR_125_IDGSW3_d35|osteocytic cells	Bon@ IDG-SW3
IDG-SW3|VDR_Veh_IDGSW3_d35|osteocytic cells	Bon@ IDG-SW3
Embryonic stem cell	PSC@ Embryonic Stem Cells
C2C12|Growing C1C12 myoblasts|growing myoblasts (MB)	Myo@ C2C12
HFSC_input DNA_ChIP-Seq|hair follicle stem cells (HFSCs)|back skins|integrin 6hi and CD34+  and ScaI-	Epd@ Hair Follicle
C57BL/6|BMM_LPS_0120_P65|primary murine bone marrow macrophage cells (BMMs)	Bld@ Macrophages
C57BL/6|BMM_LPS_0060_P65|primary murine bone marrow macrophage cells (BMMs)	Bld@ Macrophages
C57BL/6|BMM_LPS_0240_PolII|primary murine bone marrow macrophage cells (BMMs)	Bld@ Macrophages
C57BL/6|BMM_LPS_0060_PolII|primary murine bone marrow macrophage cells (BMMs)	Bld@ Macrophages
C57BL/6|BMM_LPS_0240_AcH4|primary murine bone marrow macrophage cells (BMMs)	Bld@ Macrophages
C57BL/6|BMM_LPS_0120_AcH4|primary murine bone marrow macrophage cells (BMMs)	Bld@ Macrophages
C57BL/6|BMM_LPS_0060_AcH4|primary murine bone marrow macrophage cells (BMMs)	Bld@ Macrophages
C57BL/6|BMM_NoStim_0000_AcH4|primary murine bone marrow macrophage cells (BMMs)	Bld@ Macrophages
Prep1 hypomorphic|Embryonic fibroblast|Meis1 overexpressing cells (hM)	EmF@ MEF
macrophage-like cells RAW264|RAW264 cell	Bld@ RAW 264.7
ICR|EGFP-TS3.5 TS cells	Plc@ Trophoblast stem cells
mammary tissues, p13, no treatment, input|mammary|day 13 of pregnancy	Brs@ Mammary cells
wildtype-input|mature mTEC|thymus	Oth@ Thymus
wildtype-h3k4me3|mature mTEC|thymus	Oth@ Thymus
wildtype-h3k27me3|mature mTEC|thymus	Oth@ Thymus
MS12 KDM2Bfl/fl ES cells|Embryonic stem cells, tamoxifen treated, SUZ12 ChIP	PSC@ Embryonic Stem Cells
MS12 KDM2Bfl/fl ES cells|Embryonic stem cells, untreated control, SUZ12 ChIP	PSC@ Embryonic Stem Cells
colonic epithelial cells	Dig@ Colon
female_input|colon epithelial cells	Dig@ Colon
female_NAG1_LF|colon epithelial cells	Dig@ Colon
female_NAG1_HF|colon epithelial cells	Dig@ Colon
female_WT_LF|colon epithelial cells	Dig@ Colon
female_WT_HF|colon epithelial cells	Dig@ Colon
C57BL/6|mouse splenic CD8 T cells|splenic CD8 T cells|spleen	Bld@ CD8-Positive T-Lymphocytes
CH12|splenic B cells|Switchable IgM+IgA+ murine CH12-F3 Ly-1+ B cell lymphoma line was maintained and passaged every 2 days in RPMI 1640 supplemented with 10% FBS (ATCC), 1% penicillin/streptomycin (Invitrogen), 55 uM 2-b mercaptoethanol (Invitrogen). All cells were maintained at 37C and 5% CO2 in a humidified incubator. Aicda enhancer E1 was deleted using TALENs approach.	Bld@ CH12
Neuro2A cell|Neuro2A cell|N/A	Neu@ Neuro-2a
C57BL/6|Lgr5+ intestinal stem cells	Dig@ Intestinal stem cells
bio-TT2|embryonic stem (ES) cells	PSC@ Embryonic Stem Cells
C2C12 myotubes, WCE|C2C12 myotubes	Myo@ C2C12
C2C12 myotubes, IP flag PGC-1alpha|C2C12 myotubes	Myo@ C2C12
KH2|ES cell culture|mouse embryonic stem cell	PSC@ Embryonic Stem Cells
C57BL/6|rIgG|caput epididymis	Gon@ Epididymis
C57BL/6|AR_SPARKI|caput epididymis	Gon@ Epididymis
E36 Ebs cells|embroid bodies	PSC@ Embryoid Bodies
E36 Ebs cells EED KO|embroid bodies	PSC@ Embryoid Bodies
E14 ES cells|embryonic stem cells	PSC@ Embryonic Stem Cells
Th9 cells, 72h, STAT6 ChIP|Th9|spleen	Bld@ Th9
Th9 cells, 72h, STAT5B ChIP|Th9|spleen	Bld@ Th9
Th9 cells, 72h, BCL6 ChIP|Th9|spleen	Bld@ Th9
C57BL/6|mouse primary epidermal keratinocytes|mouse primary epidermal keratinocytes|skin	Epd@ Keratinocytes
C57BL/6|Innate type-2 lymphocytes|ILC2s were sorted from the MLN of IL-25-treated mice	Bld@ ILC2
C57BL/6|In vitro reconstituted chromatin (genomic DNA from primary bone marrow-derived macrophages)|BMDM cells (7th day of differentiation)	Bld@ Macrophages
C2C12|myotubes_input|C1C12 myotubes differentiated for 96h	Myo@ C2C12
C2C12|Input_ING1_flag_myoblasts|Growing C1C12 myoblasts	Myo@ C2C12
C2C12|Sin3A_myotubes|C1C12 myotubes differentiated for 96h	Myo@ C2C12
C2C12|ING1_flag_myoblasts|Growing C1C12 myoblasts	Myo@ C2C12
129/Sv|Trophoblast giant cells - cultured	Plc@ Trophoblast giant cells
mouse brown preadipocytes, MLL4 KO, H3K4me2 ChIP|immortalized brown preadipocytes	Adp@ Brown preadipocytes
mouse brown preadipocytes, WT, H3K4me2 ChIP|immortalized brown preadipocytes	Adp@ Brown preadipocytes
mouse brown preadipocytes, MLL4 KO, Pol II ChIP|immortalized brown preadipocytes	Adp@ Brown preadipocytes
mouse brown preadipocytes, WT, Pol II ChIP|immortalized brown preadipocytes	Adp@ Brown preadipocytes
mouse brown preadipocytes, WT, PPARgamma ChIP|immortalized brown preadipocytes	Adp@ Brown preadipocytes
mouse brown preadipocytes, WT, C/EBPbeta ChIP|immortalized brown preadipocytes	Adp@ Brown preadipocytes
mouse brown preadipocytes, WT, C/EBPalpha ChIP|immortalized brown preadipocytes	Adp@ Brown preadipocytes
FDCPmix|FDCPmix|1 days erythroid differentiation	Bld@ FDCPmix
FDCPmix|FDCPmix|5 days neutrophil differentiation	Bld@ FDCPmix
CD43-|spleen|ex-vivo LPS+IL4 activated B cells	Bld@ B-Lymphocytes
C57BL/6|p190 Bcr-Abl immortalized progenitor B cells|Embryonic fetal liver|Progenitor B cells	Bld@ B-Lymphocytes
CD1|pachytene spermatcyte|adult	Gon@ Spermatocytes
C57BL/6|Mouse uterus|Uterus	Utr@ Uterus
C57BL/6|Mouse liver|Liver	Liv@ Liver
C57BL/6|Nave T cells|Nave T cells|CD3+CD4+CD44loCD62Lhi	Bld@ CD4-Positive T-Lymphocytes
C57BL/6|mouse dendritic cells|mouse dendritic cells	Bld@ Dendritic Cells
Normal murine mammary epithelial (NMuMG) cells|immortalized yet non-transformed murine mammary epithelial cells	Brs@ Mammary epithelial cells
C3H|C2C12|Proliferating Myoblasts	Myo@ C2C12
neural stem cell|neural stem cell	Neu@ Neural Stem Cells
C57BL/6|neural progenitor|neural progenitor	Neu@ Induced neural progenitors
C57BL/6 cebpa flox/flox|GMP_CebpaWT|Haematopoietic progenitor cells	Bld@ Hematopoietic Stem Cells
J1|bioDax1 ChIP DNA from ES cells|mouse embryonic stem cells	PSC@ Embryonic Stem Cells
J1|bioMyc ChIP DNA from ES cells|mouse embryonic stem cells	PSC@ Embryonic Stem Cells
purified primary B cells from Bi-8i mice; stimulated for 1 Days; anti-PU.1 ChIP|resting mature peripheral primary B cells	Bld@ B-Lymphocytes
CCE|Prdm4-EGFP_ESCs_B6_mIgG_ChIP|mouse embryonic stem cells	PSC@ Embryonic Stem Cells
CCE|Prdm4-EGFP_ESCs_B1_mIgG_ChIP|mouse embryonic stem cells	PSC@ Embryonic Stem Cells
CCE|Prdm4-EGFP_ESCs_B6_GFP_ChIP|mouse embryonic stem cells	PSC@ Embryonic Stem Cells
CCE|Prdm4-EGFP_ESCs_B1_GFP_ChIP|mouse embryonic stem cells	PSC@ Embryonic Stem Cells
day of pseudopregnancy 2.5 and 3.5 female mouse uterus|whole uterus	Utr@ Uterus
postnatal day 12 female mouse uterus|whole uterus	Utr@ Uterus
Fetal Liver|erythroblast|liver|E13.5|Ter119+CD71+	Emb@ Embryonic erythroblasts
Fetal Liver|erythroid progenitor|liver|E13.5|Ter119-CD71- and and Ter119-CD71+	Emb@ Embryonic erythroblasts
129/Ola|CM stage cultures, Whole cell extract|cardiomyocytes (CM)	PSC@ mESC derived cardiac cells
