NoAb	NoD@ NA
wild-type cells - anti-RNAPII	Pol@ RNA polymerase II
wild-type cells - anti-H3K36me3	His@ H3K36me3
wild-type cells - anti-H3K36me2	His@ H3K36me2
Input|Kc167 cells	InP@ Input control
CP190|Kc167 cells	Oth@ Cp190
Condensin II (CAPH2)|Kc167 cells	Oth@ Cap-H2
Cohesin (Rad21)|Kc167 cells	Oth@ vtd
dTFIIIC220|Kc167 cells	Oth@ CG7099
Chromatin bound to Protein-A-sepharose without antibody|mutant_mutant_PAS preincubation	InP@ Input control
Input chromatin|mutant_mutant_Input DNA	InP@ Input control
Chromatin bound to Protein-A-sepharose without antibody|WT_WT_PAS preincubation	InP@ Input control
Input chromatin|WT_WT_Input DNA	InP@ Input control
Su(H) Kc late embryo ChIP Rep.3	Oth@ Su(H)
Su(H) Kc late embryo ChIP Rep.2	Oth@ Su(H)
Su(H) Kc late embryo ChIP Rep.1	Oth@ Su(H)
Su(H) Kc late embryo Input	InP@ Input control
dMyc S2 late embryo ChIP Rep.2	Oth@ dm
dMyc S2 late embryo ChIP Rep.1	Oth@ dm
dMyc S2 late embryo Input	InP@ Input control
dMyc Kc167 late embryo ChIP Rep.2	Oth@ dm
dMyc Kc167 late embryo ChIP Rep.1	Oth@ dm
dMyc Kc167 late embryo Input	InP@ Input control
Hr78-GFP L3 ChIP Rep.2	Oth@ Hr78
Hr78-GFP L3 ChIP Rep.1	Oth@ Hr78
Hr78-GFP L3 Input	InP@ Input control
H Kc late embryo ChIP Rep.3	Oth@ h
H Kc late embryo ChIP Rep.2	Oth@ h
H Kc late embryo ChIP Rep.1	Oth@ h
H Kc late embryo Input	InP@ Input control
HP1 8-16h embryo ChIP Rep.1	Oth@ Su(var)205
HP1 8-16h embryo Input	InP@ Input control
Dfd-GFP_0-8h_embryo_ChIP-seq_ChIP_Rep2	Oth@ Dfd
Dfd-GFP_0-8h_embryo_ChIP-seq_ChIP_Rep1	Oth@ Dfd
Dfd-GFP_0-8h_embryo_ChIP-seq_Input_Rep2	InP@ Input control
Dfd-GFP_0-8h_embryo_ChIP-seq_Input_Rep1	InP@ Input control
TCF_0-8h_embryo_ChIP-seq_ChIP_Rep2	Oth@ pan
TCF_0-8h_embryo_ChIP-seq_ChIP_Rep1	Oth@ pan
TCF_0-8h_embryo_ChIP-seq_Input_Rep2	InP@ Input control
TCF_0-8h_embryo_ChIP-seq_Input_Rep1	InP@ Input control
yki_8-16h_embryonic_ChIP-seq_Input_Rep3	InP@ Input control
yki_8-16h_embryonic_ChIP-seq_Input_Rep2	InP@ Input control
yki_8-16h_embryonic_ChIP-seq_Input_Rep1	InP@ Input control
Trl_8-16h_embryonic_ChIP-seq_ChIP_Rep3	Oth@ Trl
Trl_8-16h_embryonic_ChIP-seq_ChIP_Rep2	Oth@ Trl
Trl_8-16h_embryonic_ChIP-seq_ChIP_Rep1	Oth@ Trl
Trl_8-16h_embryonic_ChIP-seq_Input_Rep3	InP@ Input control
Trl_8-16h_embryonic_ChIP-seq_Input_Rep2	InP@ Input control
Trl_8-16h_embryonic_ChIP-seq_Input_Rep1	InP@ Input control
Notch-GFP_W3L_ChIP-seq_ChIP_Rep2	Oth@ N
Notch-GFP_W3L_ChIP-seq_ChIP_Rep1	Oth@ N
Notch-GFP_W3L_ChIP-seq_Input_Rep2	InP@ Input control
Notch-GFP_W3L_ChIP-seq_Input_Rep1	InP@ Input control
lola-PI-GFP_W3L_ChIP-seq_ChIP_Rep2	Oth@ lola-PI
lola-PI-GFP_W3L_ChIP-seq_ChIP_Rep1	Oth@ lola-PI
lola-PI-GFP_W3L_ChIP-seq_Input_Rep2	InP@ Input control
lola-PI-GFP_W3L_ChIP-seq_Input_Rep1	InP@ Input control
insv_Kc_cells_ChIP-seq_ChIP_Rep3	Oth@ insv
insv_Kc_cells_ChIP-seq_ChIP_Rep1	Oth@ insv
insv_Kc_cells_ChIP-seq_Input_Rep3	InP@ Input control
insv_Kc_cells_ChIP-seq_Input_Rep2	InP@ Input control
insv_Kc_cells_ChIP-seq_Input_Rep1	InP@ Input control
Hr78-GFP_8-16_embryonic_ChIP-seq_ChIP_Rep2	Oth@ Hr78
Hr78-GFP_8-16_embryonic_ChIP-seq_ChIP_Rep1	Oth@ Hr78
Hr78-GFP_8-16_embryonic_ChIP-seq_Input_Rep2	InP@ Input control
Hr78-GFP_8-16_embryonic_ChIP-seq_Input_Rep1	InP@ Input control
H3K4me3_S2_cells_ChIP-seq_ChIP_Rep2	His@ H3K4me3
H3K4me3_S2_cells_ChIP-seq_ChIP_Rep1	His@ H3K4me3
H3K4me3_S2_cells_ChIP-seq_Input_Rep2	InP@ Input control
H3K4me3_S2_cells_ChIP-seq_Input_Rep1	InP@ Input control
H3K4me3_8-16h_embryonic_ChIP-seq_ChIP_Rep2	His@ H3K4me3
H3K4me3_8-16h_embryonic_ChIP-seq_ChIP_Rep1	His@ H3K4me3
H3K4me3_8-16h_embryonic_ChIP-seq_Input_Rep2	InP@ Input control
H3K4me3_8-16h_embryonic_ChIP-seq_Input_Rep1	InP@ Input control
H3K4me1_W3L_ChIP-seq_ChIP_Rep2	His@ H3K4me1
H3K4me1_W3L_ChIP-seq_ChIP_Rep1	His@ H3K4me1
H3K4me1_W3L_ChIP-seq_Input_Rep2	InP@ Input control
H3K4me1_W3L_ChIP-seq_Input_Rep1	InP@ Input control
H3K4me1_S2_cells_ChIP-seq_ChIP_Rep2	His@ H3K4me1
H3K4me1_S2_cells_ChIP-seq_ChIP_Rep1	His@ H3K4me1
H3K4me1_S2_cells_ChIP-seq_Input_Rep2	InP@ Input control
H3K4me1_S2_cells_ChIP-seq_Input_Rep1	InP@ Input control
cmi_0-8h_embryonic_ChIP-seq_ChIP_Rep2	Oth@ Lpt
cmi_0-8h_embryonic_ChIP-seq_ChIP_Rep1	Oth@ Lpt
cmi_0-8h_embryonic_ChIP-seq_Input_Rep2	InP@ Input control
cmi_0-8h_embryonic_ChIP-seq_Input_Rep1	InP@ Input control
CG8478_S2_cells_ChIP-seq_ChIP_Rep2	Oth@ CG8478
CG8478_S2_cells_ChIP-seq_ChIP_Rep1	Oth@ CG8478
CG8478_S2_cells_ChIP-seq_Input_Rep2	InP@ Input control
CG8478_S2_cells_ChIP-seq_Input_Rep1	InP@ Input control
Abd-B-GFP_W3L_ChIP-seq_ChIP_Rep2	Oth@ Abd-B
Abd-B-GFP_W3L_ChIP-seq_ChIP_Rep1	Oth@ Abd-B
Abd-B-GFP_W3L_ChIP-seq_Input_Rep2	InP@ Input control
Abd-B-GFP_W3L_ChIP-seq_Input_Rep1	InP@ Input control
Abd-B-GFP_vMock_W3L_ChIP-seq_ChIP_Rep2	Oth@ Abd-B
Abd-B-GFP_vMock_W3L_ChIP-seq_ChIP_Rep1	Oth@ Abd-B
Abd-B-GFP_vMock_W3L_ChIP-seq_Input_Rep2	InP@ Input control
Abd-B-GFP_vMock_W3L_ChIP-seq_Input_Rep1	InP@ Input control
H3K4me3_WPP-seq_ChIP_Rep2	His@ H3K4me3
H3K4me3_WPP-seq_ChIP_Rep1	His@ H3K4me3
H3K4me3_WPP-seq_Input_Rep2	InP@ Input control
H3K4me3_WPP-seq_Input_Rep1	InP@ Input control
USP-GFP_0-12-seq_ChIP_Rep2	Oth@ usp
USP-GFP_0-12-seq_ChIP_Rep1	Oth@ usp
USP-GFP_0-12-seq_Input_Rep2	InP@ Input control
USP-GFP_0-12-seq_Input_Rep1	InP@ Input control
USP-GFP_WPP+12-seq_ChIP_Rep3	Oth@ usp
USP-GFP_WPP+12-seq_ChIP_Rep2	Oth@ usp
USP-GFP_WPP+12-seq_ChIP_Rep1	Oth@ usp
USP-GFP_WPP+12-seq_Input_Rep3	InP@ Input control
USP-GFP_WPP+12-seq_Input_Rep2	InP@ Input control
USP-GFP_WPP+12-seq_Input_Rep1	InP@ Input control
Usp_W3L_ChIP_Rep2	Oth@ usp
Usp_W3L_ChIP_Rep1	Oth@ usp
Usp_W3L_Input_Rep2	InP@ Input control
Usp_W3L_Input_Rep1	InP@ Input control
TCF_16-24-seq_ChIP_Rep2	Oth@ pan
TCF_16-24-seq_ChIP_Rep1	Oth@ pan
TCF_16-24-seq_Input_Rep2	InP@ Input control
TCF_16-24-seq_Input_Rep1	InP@ Input control
Su(Hw)_WPP-seq_ChIP_Rep2	Oth@ su(Hw)
Su(Hw)_WPP-seq_ChIP_Rep1	Oth@ su(Hw)
Su(Hw)_WPP-seq_Input_Rep2	InP@ Input control
Su(Hw)_WPP-seq_Input_Rep1	InP@ Input control
Su(Hw)_16-24-seq_ChIP_Rep2	Oth@ su(Hw)
Su(Hw)_16-24-seq_ChIP_Rep1	Oth@ su(Hw)
Su(Hw)_16-24-seq_Input_Rep2	InP@ Input control
Su(Hw)_16-24-seq_Input_Rep1	InP@ Input control
Stat92E_WPP-seq_ChIP_Rep2	Oth@ Stat92E
Stat92E_WPP-seq_ChIP_Rep1	Oth@ Stat92E
Stat92E_WPP-seq_Input_Rep2	InP@ Input control
Stat92E_WPP-seq_Input_Rep1	InP@ Input control
Sin3A_Kc-seq_ChIP_Rep2	Oth@ Sin3A
Sin3A_Kc-seq_ChIP_Rep1	Oth@ Sin3A
Sin3A_Kc-seq_Input_Rep2	InP@ Input control
Sin3A_Kc-seq_Input_Rep1	InP@ Input control
sc_0-12-seq_ChIP_Rep2	Oth@ sc
sc_0-12-seq_ChIP_Rep1	Oth@ sc
sc_0-12-seq_Input_Rep2	InP@ Input control
sc_0-12-seq_Input_Rep1	InP@ Input control
psq_WPP-seq_ChIP_Rep2	Oth@ psq
psq_WPP-seq_ChIP_Rep1	Oth@ psq
psq_WPP-seq_Input_Rep2	InP@ Input control
psq_WPP-seq_Input_Rep1	InP@ Input control
Prd-RF13_0-12-seq_ChIP_Rep2	Oth@ prd
Prd-RF13_0-12-seq_ChIP_Rep1	Oth@ prd
Prd-RF13_0-12-seq_Input_Rep2	InP@ Input control
Prd-RF13_0-12-seq_Input_Rep1	InP@ Input control
Prd-RF12_0-12-seq_ChIP_Rep2	Oth@ prd
Prd-RF12_0-12-seq_ChIP_Rep1	Oth@ prd
Prd-RF12_0-12-seq_Input_Rep2	InP@ Input control
Prd-RF12_0-12-seq_Input_Rep1	InP@ Input control
mod(mdg4)_W3L-seq_ChIP_Rep2	Oth@ mod(mdg4)
mod(mdg4)_W3L-seq_ChIP_Rep1	Oth@ mod(mdg4)
mod(mdg4)_W3L-seq_Input_Rep2	InP@ Input control
mod(mdg4)_W3L-seq_Input_Rep1	InP@ Input control
Fru_0-8-seq_ChIP_Rep2	Oth@ fru
Fru_0-8-seq_ChIP_Rep1	Oth@ fru
Fru_0-8-seq_Input_Rep2	InP@ Input control
Fru_0-8-seq_Input_Rep1	InP@ Input control
CNC_AdultFemale-seq_ChIP_Rep2	Oth@ cnc
CNC_AdultFemale-seq_ChIP_Rep1	Oth@ cnc
CNC_AdultFemale-seq_Input_Rep2	InP@ Input control
CNC_AdultFemale-seq_Input_Rep1	InP@ Input control
CNC_16-24-seq_ChIP_Rep2	Oth@ cnc
CNC_16-24-seq_ChIP_Rep1	Oth@ cnc
CNC_16-24-seq_Input_Rep2	InP@ Input control
CNC_16-24-seq_Input_Rep1	InP@ Input control
CG8478_WPP_ChIP-seq_ChIP_Rep2	Oth@ CG8478
CG8478_WPP_ChIP-seq_ChIP_Rep1	Oth@ CG8478
CG8478_WPP_ChIP-seq_Input_Rep2	InP@ Input control
CG8478_WPP_ChIP-seq_Input_Rep1	InP@ Input control
CG16778_0-8h_embryo_ChIP-seq_ChIP_Rep2	Oth@ lov
CG16778_0-8h_embryo_ChIP-seq_ChIP_Rep1	Oth@ lov
CG16778_0-8h_embryo_ChIP-seq_Input_Rep2	InP@ Input control
CG16778_0-8h_embryo_ChIP-seq_Input_Rep1	InP@ Input control
broad_0-8h_embryo_ChIP-seq_ChIP_Rep2	Oth@ br
broad_0-8h_embryo_ChIP-seq_ChIP_Rep1	Oth@ br
broad_0-8h_embryo_ChIP-seq_Input_Rep2	InP@ Input control
broad_0-8h_embryo_ChIP-seq_Input_Rep1	InP@ Input control
scute_0-8h_embryo_ChIP-seq_ChIP_Rep2	Oth@ sc
scute_0-8h_embryo_ChIP-seq_ChIP_Rep1	Oth@ sc
scute_0-8h_embryo_ChIP-seq_Input_Rep2	InP@ Input control
scute_0-8h_embryo_ChIP-seq_Input_Rep1	InP@ Input control
homothorax_0-8h_embryo_ChIP-seq_ChIP_Rep2	Oth@ hth
homothorax_0-8h_embryo_ChIP-seq_ChIP_Rep1	Oth@ hth
homothorax_0-8h_embryo_ChIP-seq_Input_Rep2	InP@ Input control
homothorax_0-8h_embryo_ChIP-seq_Input_Rep1	InP@ Input control
Su(H)_8-16h_embryo_ChIP-seq_ChIP_Rep2	Oth@ Su(H)
Su(H)_8-16h_embryo_ChIP-seq_ChIP_Rep1	Oth@ Su(H)
Su(H)_8-16h_embryo_ChIP-seq_Input_Rep2	InP@ Input control
Su(H)_8-16h_embryo_ChIP-seq_Input_Rep1	InP@ Input control
gamma-H2Av (Rockland)|third instar salivary gland from SuUR	His@ H2A.V
NA|third instar salivary gland from SuUR	InP@ Input control
IgG (Abcam)|third instar salivary gland from OrR	InP@ Input control
gamma-H2Av (Rockland)|third instar salivary gland from OrR	His@ H2A.V
NA|third instar salivary gland from OrR	InP@ Input control
Anti-RNA polymerase II CTD repeat YSPTSPS 8WG16 antibody|RNA Polymerase II ChIP from rhino germline knock-down ovaries	Pol@ RNA polymerase II
Anti-RNA polymerase II CTD repeat YSPTSPS 8WG16 antibody|RNA Polymerase II ChIP from control germline knock-down ovaries	Pol@ RNA polymerase II
custom-made rabbit polyclonal antibody|Cutoff ChIP from cutoff germline knock-down ovaries	Unc@ Unclassified
custom-made rabbit polyclonal antibody|Cutoff ChIP from control germline knock-down ovaries	Unc@ Unclassified
custom-made rabbit polyclonal antibody|Deadlock ChIP from deadlock germline knock-down ovaries	Unc@ Unclassified
custom-made rabbit polyclonal antibody|Deadlock ChIP from control germline knock-down ovaries	Unc@ Unclassified
custom-made rabbit polyclonal antibody|Rhino ChIP from cutoff germline knock-down ovaries	Unc@ Unclassified
custom-made rabbit polyclonal antibody|Rhino ChIP from deadlock germline knock-down ovaries	Unc@ Unclassified
custom-made rabbit polyclonal antibody|Rhino ChIP from rhino germline knock-down ovaries	Unc@ Unclassified
anti-Max rabbit polyclonal, Santa Cruz Technology, catalog # sc-28209, lot # D-2504|Max ChIP-seq (Drosophila S2 cells) Rep 1	Oth@ Max
anti-Dorsal rabbit polyclonal, custom (GenScript)|Dorsal ChIP-seq (Drosophila embryos) Rep 1	Oth@ dl
H3K9ac|H3K9ac 14-16 hr OR Emb ChIP expt.2488	His@ H3K9Ac
H3K9ac|H3K9ac 14-16 hr OR Emb ChIP expt.1911	His@ H3K9Ac
none|H3K9ac 14-16 hr OR Emb Input expt.1733	InP@ Input control
none|H3K9ac 14-16 hr OR Emb Input expt.1912	InP@ Input control
H3K4me2-Abcam|H3K4me2-Abcam 14-16 hr OR Emb ChIP expt.1959	His@ H3K4me2
H3K4me2-Abcam|H3K4me2-Abcam 14-16 hr OR Emb ChIP expt.1976	His@ H3K4me2
none|H3K4me2-Abcam 14-16 hr OR Emb Input expt.1962	InP@ Input control
none|H3K4me2-Abcam 14-16 hr OR Emb Input expt.1815	InP@ Input control
none|Input	InP@ Input control
Polycomb|PC 2	Oth@ Pc
Polycomb|PC 1	Oth@ Pc
Velo|Velo 2	Oth@ velo
Velo|Velo 1	Oth@ velo
SUMO|SUMO 2	Oth@ smt3
SUMO|SUMO 1	Oth@ smt3
input_Ph_mixed	InP@ Input control
H3K9me2	His@ H3K9me2
H3K27me3	His@ H3K27me3
H3K36me3	His@ H3K36me3
H3K4me3	His@ H3K4me3
H3K36me2 W BG3 ChIP expt.2393	His@ H3K36me2
H3K36me2 W BG3 ChIP expt.2392	His@ H3K36me2
H3K36me2 W BG3 Input expt.2436	InP@ Input control
H3K36me2 W BG3 Input expt.2435	InP@ Input control
H2AV 9751 S2 GFP RNAi ChIP expt.2579	His@ H2A.V
H2AV 9751 S2 GFP RNAi ChIP expt.2577	His@ H2A.V
H2AV 9751 S2 GFP RNAi Input expt.2575	InP@ Input control
H2AV 9751 S2 GFP RNAi Input expt.2574	InP@ Input control
H2AV 9751 S2 H2AV RNAi ChIP expt.2578	His@ H2A.V
H2AV 9751 S2 H2AV RNAi ChIP expt.2576	His@ H2A.V
H2AV 9751 S2 H2AV RNAi Input expt.2573	InP@ Input control
H2AV 9751 S2 H2AV RNAi Input expt.2572	InP@ Input control
Smc3 Q2580 3rd Instar D.mel ChIP expt.2498	Oth@ SMC3
Smc3 Q2580 3rd Instar D.mel ChIP expt.2497	Oth@ SMC3
Smc3 Q2580 3rd Instar D.mel Input expt.2494	InP@ Input control
Smc3 Q2580 3rd Instar D.mel Input expt.2493	InP@ Input control
POF (MO 459) 3rd Instar D.mel ChIP expt.2238	Oth@ Pof
POF (MO 459) 3rd Instar D.mel ChIP expt.2237	Oth@ Pof
POF (MO 459) 3rd Instar D.mel Input expt.2223	InP@ Input control
POF (MO 459) 3rd Instar D.mel Input expt.2221	InP@ Input control
JMJD2A-KDM4A Q2541 3rd Instar D.mel ChIP expt.2385	Oth@ Kdm4A
JMJD2A-KDM4A Q2541 3rd Instar D.mel ChIP expt.2384	Oth@ Kdm4A
JMJD2A-KDM4A Q2541 3rd Instar D.mel Input expt.2317	InP@ Input control
JMJD2A-KDM4A Q2541 3rd Instar D.mel Input expt.2316	InP@ Input control
BEAF-HB.14-16 hr OR emb ChIP expt.1972	Oth@ BEAF-32
BEAF-HB.14-16 hr OR emb ChIP expt.1964	Oth@ BEAF-32
BEAF-HB.14-16 hr OR emb Input expt.1962	InP@ Input control
BEAF-HB.14-16 hr OR emb Input expt.1823	InP@ Input control
TCF_WPP_ChIP-seq_ChIP_Rep3	Oth@ pan
TCF_WPP_ChIP-seq_ChIP_Rep2	Oth@ pan
TCF_WPP_ChIP-seq_ChIP_Rep1	Oth@ pan
TCF_WPP_ChIP-seq_Input_Rep3	InP@ Input control
TCF_WPP_ChIP-seq_Input_Rep2	InP@ Input control
TCF_WPP_ChIP-seq_Input_Rep1	InP@ Input control
TCF_W3L_ChIP-seq_ChIP_Rep3	Oth@ pan
TCF_W3L_ChIP-seq_ChIP_Rep2	Oth@ pan
TCF_W3L_ChIP-seq_ChIP_Rep1	Oth@ pan
TCF_W3L_ChIP-seq_Input_Rep3	InP@ Input control
TCF_W3L_ChIP-seq_Input_Rep2	InP@ Input control
TCF_W3L_ChIP-seq_Input_Rep1	InP@ Input control
TCF_nonISO1_0-8_embryonic_ChIP-seq_ChIP_Rep2	Oth@ pan
TCF_nonISO1_0-8_embryonic_ChIP-seq_ChIP_Rep1	Oth@ pan
TCF_nonISO1_0-8_embryonic_ChIP-seq_Input_Rep2	InP@ Input control
TCF_nonISO1_0-8_embryonic_ChIP-seq_Input_Rep1	InP@ Input control
dTBP_0-8h_embryonic_ChIP-seq_ChIP_Rep2	Oth@ Tbp
dTBP_0-8h_embryonic_ChIP-seq_ChIP_Rep1	Oth@ Tbp
dTBP_0-8h_embryonic_ChIP-seq_Input_Rep2	InP@ Input control
dTBP_0-8h_embryonic_ChIP-seq_Input_Rep1	InP@ Input control
Su(H)_0-8_embryonic_ChIP-seq_ChIP_Rep3	Oth@ Su(H)
Su(H)_0-8_embryonic_ChIP-seq_ChIP_Rep2	Oth@ Su(H)
Su(H)_0-8_embryonic_ChIP-seq_ChIP_Rep1	Oth@ Su(H)
Su(H)_0-8_embryonic_ChIP-seq_Input_Rep3	InP@ Input control
Su(H)_0-8_embryonic_ChIP-seq_Input_Rep2	InP@ Input control
Su(H)_0-8_embryonic_ChIP-seq_Input_Rep1	InP@ Input control
Stat92E-GFP_12-24h_embryonic_ChIP-seq_ChIP_Rep2	Oth@ Stat92E
Stat92E-GFP_12-24h_embryonic_ChIP-seq_ChIP_Rep1	Oth@ Stat92E
Stat92E-GFP_12-24h_embryonic_ChIP-seq_Input_Rep2	InP@ Input control
Stat92E-GFP_12-24h_embryonic_ChIP-seq_Input_Rep1	InP@ Input control
dMyc_W3L_ChIP-seq_ChIP_Rep2	Oth@ dm
dMyc_W3L_ChIP-seq_ChIP_Rep1	Oth@ dm
dMyc_W3L_ChIP-seq_Input_Rep2	InP@ Input control
dMyc_W3L_ChIP-seq_Input_Rep1	InP@ Input control
lola-PJ-GFP_12-24h_embryo_ChIP-seq_ChIP_Rep2	Oth@ lola-PJ
lola-PJ-GFP_12-24h_embryo_ChIP-seq_ChIP_Rep1	Oth@ lola-PJ
lola-PJ-GFP_12-24h_embryo_ChIP-seq_Input_Rep2	InP@ Input control
lola-PJ-GFP_12-24h_embryo_ChIP-seq_Input_Rep1	InP@ Input control
lola-PJ-GFP_0-12h_embryo_ChIP-seq_ChIP_Rep2	Oth@ lola-PJ
lola-PJ-GFP_0-12h_embryo_ChIP-seq_ChIP_Rep1	Oth@ lola-PJ
lola-PJ-GFP_0-12h_embryo_ChIP-seq_Input_Rep2	InP@ Input control
lola-PJ-GFP_0-12h_embryo_ChIP-seq_Input_Rep1	InP@ Input control
H_0-8h_embryonic_ChIP-seq_ChIP_Rep2	Oth@ h
H_0-8h_embryonic_ChIP-seq_ChIP_Rep1	Oth@ h
H_0-8h_embryonic_ChIP-seq_Input_Rep2	InP@ Input control
H_0-8h_embryonic_ChIP-seq_Input_Rep1	InP@ Input control
gro_WPP_ChIP-seq_ChIP_Rep2	Oth@ gro
gro_WPP_ChIP-seq_ChIP_Rep1	Oth@ gro
gro_WPP_ChIP-seq_Input_Rep2	InP@ Input control
gro_WPP_ChIP-seq_Input_Rep1	InP@ Input control
Eip74EF-GFP_8-16h_embryonic_ChIP-seq_ChIP_Rep2	Oth@ Eip74EF
Eip74EF-GFP_8-16h_embryonic_ChIP-seq_ChIP_Rep1	Oth@ Eip74EF
Eip74EF-GFP_8-16h_embryonic_ChIP-seq_Input_Rep2	InP@ Input control
Eip74EF-GFP_8-16h_embryonic_ChIP-seq_Input_Rep1	InP@ Input control
Dll_WPP_ChIP-seq_ChIP_Rep2	Oth@ Dll
Dll_WPP_ChIP-seq_ChIP_Rep1	Oth@ Dll
Dll_WPP_ChIP-seq_Input_Rep2	InP@ Input control
Dll_WPP_ChIP-seq_Input_Rep1	InP@ Input control
Anti-Pol II|eye disks from 3rd instar larvae	Pol@ RNA polymerase II
Anti-Sd|eye disks from 3rd instar larvae	Oth@ sd
Anti-Yki|eye disks from 3rd instar larvae	Oth@ yki
Active Motif Histone H3S10ph antibody (pAb) #39253|Salivary Glands	His@ H3S10ph
Cell signalling Phospho-Histone H3 (Ser10) (D2C8) XP Rabbit mAb|Salivary Glands	His@ H3S10ph
anti-ZIPIC|S2 cells	Oth@ CG7928
anti-Pita|S2 cells	Oth@ pita
none|input DNA|fruitfly testis nos&gt;shRNA E(z)	InP@ Input control
anti-IgG control antibody|S2 cells	InP@ Input control
anti-Beaf32|S2 cells	Oth@ BEAF-32
none|eye-antennal imaginal disc	InP@ Input control
anti-Trf2 275 Antibody (custom polyclonal antibody generated in rabbits)|Staged embryos	Oth@ Trf2
anti-Trf2 274 Antibody (custom polyclonal antibody generated in rabbits)|Staged embryos	Oth@ Trf2
anti-TBP 518 Antibody (custom polyclonal antibody generated in rabbits)|Staged embryos	Oth@ Tbp
anti-TBP 517 Antibody (custom polyclonal antibody generated in rabbits)|Staged embryos	Oth@ Tbp
Su(Hw) rabbit|Kc167_Su(Hw)_ChIP-seq	Oth@ su(Hw)
Shep rabbit|Kc167_Shep_ChIP-seq	Oth@ shep
Shep guinea pig|Kc167_Shep_ChIP-seq	Oth@ shep
Rump 5g4|Kc167_Rump_ChIP-seq	Oth@ rump
Rump 10c3|Kc167_Rump_ChIP-seq	Oth@ rump
Mod(mdg4)2.2 rabbit|Kc167_Mod(mdg4)2.2_ChIP-seq	Oth@ mod(mdg4)
Mod(mdg4)2.2 guinea pig|Kc167_Mod(mdg4)2.2_ChIP-seq	Oth@ mod(mdg4)
CP190 rabbit|Kc167_CP190_ChIP-seq	Oth@ Cp190
KR, counter-purified agians D. virilis protein (Li et al., 2008)|Blastoderm embryos	Oth@ Kr
HB, counter-purified agians D. virilis protein (Li et al., 2008)|Blastoderm embryos	Oth@ hb
Bicoid, counter-purified agians D. virilis protein (Li et al. 2008)|Blastoderm embryos	Oth@ bcd
NA|NA|NA|E0-12	InP@ Input control
NA|NA|NA|AdultFemale	InP@ Input control
NA|NA|NA|E0-8	InP@ Input control
NA|NA|NA|Kc167	InP@ Input control
NA|NA|NA|S2	InP@ Input control
NA|NA|NA|AbdB-GFP	InP@ Input control
NA|NA|NA|Exd-GFP	InP@ Input control
NA|NA|NA|LolaI-GFP	InP@ Input control
NA|NA|NA|Notch-GFP	InP@ Input control
NA|NA|NA|Stat92E-GFP	InP@ Input control
RPLII_ab5408.Clone_8 ChIP expt.2460	Pol@ RNA polymerase II
RPLII_ab5408.Clone_8 ChIP expt.2459	Pol@ RNA polymerase II
RPLII_ab5408.Clone_8 Input expt.2434	InP@ Input control
RPLII_ab5408.Clone_8 Input expt.2433	InP@ Input control
RLPII_phospho5_ab5131.Clone_8 ChIP expt.2468	Pol@ RNA polymerase II
RLPII_phospho5_ab5131.Clone_8 ChIP expt.2467	Pol@ RNA polymerase II
RLPII_phospho5_ab5131.Clone_8 Input expt.2434	InP@ Input control
RLPII_phospho5_ab5131.Clone_8 Input expt.2433	InP@ Input control
RLPII_phospho5_ab5131.Kc ChIP expt.2466	Pol@ RNA polymerase II
RLPII_phospho5_ab5131.Kc ChIP expt.2465	Pol@ RNA polymerase II
RLPII_phospho5_ab5131.Kc Input expt.2432	InP@ Input control
RLPII_phospho5_ab5131.Kc Input expt.2431	InP@ Input control
RLPII_phospho2_ab5095.Kc ChIP expt.2462	Pol@ RNA polymerase II
RLPII_phospho2_ab5095.Kc ChIP expt.2461	Pol@ RNA polymerase II
RLPII_phospho2_ab5095.Kc Input expt.2432	InP@ Input control
RLPII_phospho2_ab5095.Kc Input expt.2431	InP@ Input control
H4K8ac.L3 ChIP expt.2517	His@ H4K8ac
H4K8ac.L3 ChIP expt.2516	His@ H4K8ac
H4K8ac.L3 Input expt.2404	InP@ Input control
H4K8ac.L3 Input expt.2402	InP@ Input control
H4K16ac(M).L3 ChIP expt.2515	His@ H4K16ac
H4K16ac(M).L3 ChIP expt.2514	His@ H4K16ac
H4K16ac(M).L3 Input expt.2404	InP@ Input control
H4K16ac(M).L3 Input expt.2402	InP@ Input control
Su(var)3-9-Q2598.L3 ChIP expt.2234	Oth@ Su(var)3-9
Su(var)3-9-Q2598.L3 ChIP expt.2233	Oth@ Su(var)3-9
Su(var)3-9-Q2598.L3 Input expt.2420	InP@ Input control
Su(var)3-9-Q2598.L3 Input expt.2226	InP@ Input control
HP1c_(MO_462).L3 ChIP expt.2244	Oth@ HP1c
HP1c_(MO_462).L3 ChIP expt.2243	Oth@ HP1c
HP1c_(MO_462).L3 Input expt.2224	InP@ Input control
HP1c_(MO_462).L3 Input expt.2222	InP@ Input control
H3K79me3_(Abcam_ab2621_lot_1).L3 ChIP expt.2351	His@ H3K79me3
H3K79me3_(Abcam_ab2621_lot_1).L3 ChIP expt.2350	His@ H3K79me3
H3K79me3_(Abcam_ab2621_lot_1).L3 Input expt.2331	InP@ Input control
H3K79me3_(Abcam_ab2621_lot_1).L3 Input expt.2330	InP@ Input control
H3K79me2_(Abcam_ab3594_lot_1).L3 ChIP expt.2349	His@ H3K79me2
H3K79me2_(Abcam_ab3594_lot_1).L3 ChIP expt.2348	His@ H3K79me2
H3K79me2_(Abcam_ab3594_lot_1).L3 Input expt.2331	InP@ Input control
