SRA	SRX	MGI	old	new
8	8	http://www.ncbi.nlm.nih.gov/sra?term=ERX210215	epithelial|breast|breast cancer	Brs@ Breast cancer cells?0
3	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX539656	PrEC|PrEC	Prs@ PrEC?4
2	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX384481	MCF-7|breast cancer cells	Brs@ MCF-7?1
2	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX031403	Primary Tissue|fetal kidney|UW|None	Kid@ Fetal kidney?0
2	8	http://www.ncbi.nlm.nih.gov/sra?term=ERX278909	AsiSI-ER-U20S	Bon@ U2OS?4
1	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX956470	Nephrectomy sample|kidney|tumor	Nephrectomy sample|kidney|tumor
1	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX716555	SF268|SF268 glioblastoma cells|Glioblastoma cells	SF268|SF268 glioblastoma cells|Glioblastoma cells
1	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX679118	Hela cells|Hela Cells	Utr@ HeLa?1
1	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX469393	MCF-7|MCF-7	Brs@ MCF-7?1
1	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX275500	U2OS cell line|osteosarcoma	Bon@ U2OS?4
1	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX220061	primary HUVECs|endothelial cells	CDV@ HUVEC?1
1	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX1021630	PC3|Prostate|Prostate	PC3|Prostate|Prostate
1	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX067432	Osteobl|osteoblasts (NHOst)|mesoderm	Bon@ Osteobl?4
1	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX026659	UAE (leukemic)|hematopoietic cell|leukemic	Bld@ U-937?1
1	8	http://www.ncbi.nlm.nih.gov/sra?term=ERX007059	WPMY1|myofibroblast stromal cell	Prs@ WPMY-1?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX958176	HEK293T|HEK293T cell line	Kid@ 293?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX748432	HCT116|HNF4a8 Line|colon cancer	HCT116|HNF4a8 Line|colon cancer
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX743834	kelly|high-MYCN-Neuroblastoma cell line|Neuroblastoma cell line	Neu@ KELLY?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX718148	Ewing sarcoma cell line A673|A673	Myo@ A-673?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX718141	Ewing sarcoma cell line SKMNC|SKMNC after 96 hrs shFLI1	Bon@ SKMNC?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX718132	Ewing sarcoma cell line SKMNC|SKMNC after 96 hrs shGFP	Bon@ SKMNC?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX718123	Ewing sarcoma cell line SKMNC|SKMNC	Bon@ SKMNC?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX713900	prostate cancer cell line|R1-AD1	Prs@ R1-AD1?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX668349	HEK293 Flp-In cells|293 GFP-foxm1 WT	HEK293 Flp-In cells|293 GFP-foxm1 WT
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX668219	Retinal pigment cells, science cell|Retinal pigment cells #6540	Oth@ HRPEpiC?4
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX625671	DKO1|DKO1 cells|colon cancer	Dig@ Colon cancer?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX545951	MCF-7 WT	Brs@ MCF-7?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX541599	TE-7|esophagus|esophageal epithelial	TE-7|esophagus|esophageal epithelial
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX448966	DND-41|DND-41 persister cells|T-cell acute lymphoblastic leukemia	Bld@ DND-41?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX448959	DND-41|DND-41 nave cells|T-cell acute lymphoblastic leukemia	Bld@ DND-41?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX448945	KOPT-K1|KOPT-K1 nave cells|T-cell acute lymphoblastic leukemia	Bld@ KOPT-K1?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX377966	glioblastoma tumor intiating cells, 0308 line	Neu@ Glioblastoma?3
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX342279	Primary Tissue|Adrenal Gland|N/A|None	Oth@ Adrenal Glands?3
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX342278	Primary Tissue|Ovary|N/A|iron deficiency, bipolar	Gon@ Ovary?3
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX334235	LNCAP cell line	Prs@ LNCAP?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX332953	HKC8 cells|human kidney proximal tubule cells (HKC8 cells)	Kid@ HKC8?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX218423	R3/R4 Erythroid cells|R3/R4 Erythroid cells	Bld@ Erythroid Cells?3
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX212468	Input control|Input control	Unc@ Unclassified
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX190071	HEK293|HEK293|embryonic kidney, cells contain Adenovirus 5 DNA (PMID: 11967234)|mesoderm	Kid@ 293?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX190019	Caco-2|Caco-2|colorectal adenocarcinoma. (PMID: 1939345)|endoderm	Dig@ Caco-2?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX180829	IMR90|IMR90 Human Fetal Lung Fibroblast cell line	Lng@ IMR-90?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX180167	MCF7-LTED|Long-term estrogen deprived breast cancer cell line	Brs@ MCF-7?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX144065	Raji-cells|Raji-cells|Burkitt's lymphoma	Bld@ RAJI?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX129109	Small Cell Lung Carcinoma|H128	Lng@ NCI-H128?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX1099962	hIPSCs from reprogrammed hiF-T cells (hIPSC-T)	hIPSCs from reprogrammed hiF-T cells (hIPSC-T)
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX107347	MCF-7 breast cancer cells|MCF-7 breast cancer cells	Brs@ MCF-7?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX1024942	K562|chronic myelogenous leukemia cell line	K562|chronic myelogenous leukemia cell line
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX100586	ECC-1|epithelial cell line derived from an endometrium adenocarcinoma, fetal membranes were collected from women who underwent planned cesarean delivery at term, before labor and without rupture of membranes|endoderm	Utr@ ECC-1?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX100584	T-47D|epithelial cell line derived from a mammary ductal carcinoma.	Brs@ T-47D?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX099881	FB0167P|Progeria fibroblast|Progeria fibroblast	Oth@ FB0167P?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX099869	MCF7|breast adenocarcinoma cells|breast adenocarcinoma cells	Brs@ MCF-7?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX095381	NT2-D1|NT2-D1|malignant pluripotent embryonal carcinoma (Ntera2), The NTERA-2 cl.D1 cell line is a pluripotent human testicular embryonal carcinoma cell line derived by cloning the NTERA-2 cell line. - ATCC. (PMID: 6694356)|inner cell mass	PSC@ NT2-D1?4
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX088948	hiPS-18a|Cell Line|induced pluripotent cells|presumed normal|undifferentiated	PSC@ iPS cells?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX088763	hiPS-20b|Cell Line|induced pluripotent cells|presumed normal|undifferentiated	PSC@ iPS cells?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX088720	hiPS-20b|Cell Line|induced pluripotent cells|none|undifferentiated	PSC@ iPS cells?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX067516	NH-A|astrocytes (also called Astrocy)|ectoderm	Neu@ NH-A?4
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX061996	HCC1954|breast cancer cells|breast cancer cells	Brs@ HCC1954?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX036559	reduction mammoplasty|epithelial cell|breast|normal|CD24+	Brs@ Breast cells?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX036557	reduction mammoplasty|epithelial cell|breast|normal|CD44+	Brs@ Breast cells?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX032880	Homogenized Human Liver|Liver tissue	Liv@ Liver?3
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX029090	K562|K562 Cells, 24 hours following induction with TPA	Bld@ K-562?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX019882	Primary Cell|CD19 Primary Cells|none|CD19+	Bld@ B-cell (CD19+)?4
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX016037	IMR90|Chromatin IP against pRb	Lng@ IMR-90?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=ERX329717	NA11894|lymphoblastoid cell	Bld@ NA11894?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=ERX329711	NA12043|lymphoblastoid cell	Bld@ NA12043?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=ERX329710	NA12776|lymphoblastoid cell	Bld@ NA12776?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=ERX329704	NA11830|lymphoblastoid cell	Bld@ NA11830?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=ERX329702	NA11881|lymphoblastoid cell	Bld@ NA11881?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=ERX329693	NA11831|lymphoblastoid cell	Bld@ NA11831?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=ERX329686	NA12813|lymphoblastoid cell	Bld@ NA12813?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=ERX297448	BL-2|Cell Line|NA|Sporadic Burkitt lymphoma|B cell	BL-2|Cell Line|NA|Sporadic Burkitt lymphoma|B cell
7	7	http://www.ncbi.nlm.nih.gov/sra?term=ERX297446	JVM-2|Cell Line|NA|Mantle cell lymphoma|B cell	JVM-2|Cell Line|NA|Mantle cell lymphoma|B cell
7	7	http://www.ncbi.nlm.nih.gov/sra?term=ERX223319	H1_hESC|human embryonic stem cells	PSC@ hESC H1?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=ERX026026	CyT49|embryonic stem cell	PSC@ hESC Cyt49?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=DRX014664	HMVEC|IHEC22|Human Cardiac Microvascular Endothelial Cells|the endothelium of blood vessels|microvascular endothelial cell|dead	CDV@ HMVEC?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=DRX014654	HPAEC|IHEC21|Human Pulmonary Artery Endothelial Cells|the endothelium of blood vessels|pulmonary artery endothelial cell|dead	CDV@ HPAEC?4
7	7	http://www.ncbi.nlm.nih.gov/sra?term=DRX014644	HCAEC|IHEC20|Human Coronary Artery Endothelial Cells|the endothelium of blood vessels|endothelial cell of coronary artery|dead	CDV@ Coronary artery endothelial cells?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=DRX014634	HAoEC|IHEC19|Human Aortic Endothelial Cells|the endothelium of blood vessels|aortic endothelial cells|dead	CDV@ HAoEC?4
7	7	http://www.ncbi.nlm.nih.gov/sra?term=DRX014625	HUVEC|IHEC18|Human Umbilical Vein Endothelial Cells|the endothelium of blood vessels|endothelial cell of umbilical vein|pneumonia|alive	CDV@ HUVEC?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=DRX014615	HUVEC|IHEC17|Human Umbilical Vein Endothelial Cells|the endothelium of blood vessels|endothelial cell of umbilical vein|pneumonia|alive	CDV@ HUVEC?1
7	7	http://www.ncbi.nlm.nih.gov/sra?term=DRX014605	HCAEC|IHEC16|Human Coronary Artery Endothelial Cells|the endothelium of blood vessels|endothelial cell of coronary artery|dead	CDV@ Coronary artery endothelial cells?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=DRX014595	HCAEC|IHEC15|Human Coronary Artery Endothelial Cells|the endothelium of blood vessels|endothelial cell of coronary artery|pneumonia|dead	CDV@ Coronary artery endothelial cells?0
7	7	http://www.ncbi.nlm.nih.gov/sra?term=DRX014585	HPAEC|IHEC14|Human Pulmonary Artery Endothelial Cells|the endothelium of blood vessels|pulmonary artery endothelial cell|pneumonia|dead	CDV@ HPAEC?4
7	7	http://www.ncbi.nlm.nih.gov/sra?term=DRX014575	HAoEC|IHEC13|Human Aortic Endothelial Cells|the endothelium of blood vessels|aortic endothelial cells|pneumonia|dead	CDV@ HAoEC?4
7	7	http://www.ncbi.nlm.nih.gov/sra?term=DRX014565	HAoEC|IHEC12|Human Aortic Endothelial Cells|the endothelium of blood vessels|aortic endothelial cells|dead	CDV@ HAoEC?4
2	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX201813	Primary Tissue|Pancreas|N/A|None	Pan@ Pancreas?3
2	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX189957	NHEK|NHEK|epidermal keratinocytes|ectoderm	Epd@ NHEK?4
2	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX150750	SEM|SEM	Bld@ SEM?1
2	7	http://www.ncbi.nlm.nih.gov/sra?term=ERX161924	testes|adult	Gon@ Testis?3
1	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX448946	KOPT-K1|KOPT-K1 persister cells|T-cell acute lymphoblastic leukemia	Bld@ KOPT-K1?0
1	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX332674	MDAMB231|MDAMB231	Brs@ MDA-MB-231?1
1	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX317583	Edom-iPS-2|hiPSC	PSC@ iPS cells?0
1	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX264458	MM1.S	Bld@ MM.1S?1
1	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX256993	LCL	Bld@ Lymphoblastoid cell line?4
1	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX186686	NH-A	Neu@ NH-A?4
1	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX170350	Blood|Bcell|Blood|Adult	Bld@ B-Lymphocytes?3
1	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX136948	Primary Tissue|Right Atrium|N/A|None	CDV@ Atrium?0
1	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX1003362	Peripheral blood	Peripheral blood
1	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX099882	H54|glioblastoma|glioblastoma	Neu@ D54?0
1	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX018949	HeLa cells|Hela cells	Utr@ HeLa?1
1	7	http://www.ncbi.nlm.nih.gov/sra?term=ERX069446	MDAMB453|breast|epithelial	Brs@ MDA-MB-453?1
1	7	http://www.ncbi.nlm.nih.gov/sra?term=ERX008568	ZR75-1|breast cancer	Brs@ ZR-75-1?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX974388	HEK293A|empty vector cells	HEK293A|empty vector cells
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX958206	HEK293T|HEK293T_ILIRN_c9VP64 cell line	HEK293T|HEK293T_ILIRN_c9VP64 cell line
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX890400	NCI-H526|NCI-H526 small cell lung cancer cell line|epithelial	NCI-H526|NCI-H526 small cell lung cancer cell line|epithelial
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX867053	Human Embryonic kidney cell line	Kid@ 293?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX838190	FLT3 wild type AML patient sample	FLT3 wild type AML patient sample
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX828675	LNCaP cells|LNCaP	LNCaP cells|LNCaP
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX764676	GM18501|Lymphoblastoid Cell Line	GM18501|Lymphoblastoid Cell Line
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX764670	GM18502|Lymphoblastoid Cell Line	GM18502|Lymphoblastoid Cell Line
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX764669	GM18498|Lymphoblastoid Cell Line	GM18498|Lymphoblastoid Cell Line
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX764655	GM18489|Lymphoblastoid Cell Line	GM18489|Lymphoblastoid Cell Line
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX764622	GM18499|Lymphoblastoid Cell Line	GM18499|Lymphoblastoid Cell Line
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX761566	Calu-3|Lung adenocarcinoma cells|Lung adenocarcinoma	Lng@ Calu-3?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX743840	SHSY5Y|low_MYCN-Neuroblastoma cell line|Neuroblastoma cell line	Neu@ SH-SY5Y?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX734343	Cell line derived from T47D that contain one copy of MMTV promoter|T47D-MTVL	Cell line derived from T47D that contain one copy of MMTV promoter|T47D-MTVL
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX689371	HEK293 cells|cultured cell line	Kid@ 293?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX685533	U937|U937 cell line	Bld@ U-937?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX656351	ICN12 cells|primary pre-B acute lymphomablastic leukemia	Bld@ ICN12?0
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX652751	Embryonic stem cells	PSC@ Embryonic Stem Cells?3
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX625664	HCT116|HCT116 cells|colon cancer	Dig@ HCT 116?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX596343	SA121|Human embryonic stem cells|Human embryonic stem cells	PSC@ hESC SA121?0
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX574350	Human patient-derived xenograft cells	Unc@ Unclassified
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX573068	HeLa|HeLa|IP with Ab  anti-INTS11 rabbit polyclonal (Bethyl, A301-274A)	Utr@ HeLa?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX540018	VCaP|prostate|epithelial|prostate cancer	VCaP|prostate|epithelial|prostate cancer
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX490418	ependymomas_PFA_H3K27me3 ChIP|Primary Ependymoma Tumour	Neu@ Ependymoma?3
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX481488	Cultured fibroblasts	Oth@ Fibroblasts?0
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX475379	LNCaP cells|prostate adenocarcinoma	Prs@ LNCAP?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX472905	MRC5|MRC5|fibroblast cell line|lung	MRC5|MRC5|fibroblast cell line|lung
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX451052	CyT49|Definitive endoderm|hESC derived definitive endoderm	PSC@ hESC derived mesendodermal cells?0
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX433194	Human Embryonal Kidney Cells HEK-293|Isogenic HEK293 Cells	Kid@ 293?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX423006	T47D-MTVL|Breast cancer cell line	Brs@ T-47D?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX393518	Human primary endothelial colony-forming cells|ECFCs derived from human umbilical cord blood	CDV@ Primary endothelial cells?0
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX392041	IMR90|IMR90 human fiboblasts	Lng@ IMR-90?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX381326	BGO1|hES Cells|hES Cells	PSC@ hESC BG01?0
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX347279	Primary Tissue|Esophagus|N/A|iron deficiency, bipolar	Dig@ Esophagus?3
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX342270	Primary Tissue|Lung|N/A|iron deficiency, bipolar	Lng@ Lung?3
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX330072	MCF-7|MCF-7 cells|breast cancer	Brs@ MCF-7?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX329009	T47D-MTVL|breast cancer ductal carcinoma	Brs@ T-47D?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX326896	Jurkat|Jurkat cell line	Bld@ Jurkat?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX323403	MCF-7 breast cancer cell line|MCF-7 breast cancer cell line	Brs@ MCF-7?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX286206	RKO|human colon carcinoma	Dig@ RKO?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX268455	Bronchial Epithelial Cells|Bronchial Epithelial Cells	Lng@ Tracheal epithelial cells?0
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX237290	CD4+ T cells activated by IL-2+aCD3+aCD28|CD4+ T cells	Bld@ CD4-Positive T-Lymphocytes?3
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX212318	Blood monocytes|Blood monocytes	Bld@ Monocytes?3
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX201305	NT2-D1|NT2-D1|malignant pluripotent embryonal carcinoma (NTera-2), The NTERA-2 cl.D1 cell line is a pluripotent human testicular embryonal carcinoma cell line derived by cloning the NTERA-2 cell line. - ATCC. (PMID: 6694356)|inner cell mass	PSC@ NT2-D1?4
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX201301	Monocytes-CD14+_RO01746|Monocytes-CD14+_RO01746|Monocytes-CD14+ are CD14-positive cells from human leukapheresis production, from donor RO 01746 (draw 1 ID is RO 01746, draw 2 ID is RO 01826), Monocytes-CD14+_RO01746 and Monocytes-CD14+_RO01826 are being used as replicates, newly promoted to tier 2: not in 2011 analysis|mesoderm	Bld@ Monocytes-CD14+?4
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX201297	LHCN-M2|LHCN-M2|skeletal myoblasts derived from satellite cells from the pectoralis major muscle of a 41 year old caucasian heart transplant donor, immortalized with lox-hygro-hTERT (LH), and Cdk4-neo (CN), Zhu et al. (2007) in Aging Cell, vol. 6, pp 515-523, newly promoted to tier 2: not in 2011 analysis.|mesoderm	Myo@ LHCN-M2?4
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX201276	CD20+_RO01778|CD20+_RO01778|B cells, caucasian, draw number 1, newly promoted to tier 2: not in 2011 analysis|mesoderm	Bld@ CD20+?4
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX199866	SK-N-MC|SK-N-MC|neuroepithelioma cell line derived from a metastatic supra-orbital human brain tumor, SK-N-MC was isolated in September of l971 and was found to have moderate dopamine - beta - hydroxylase activity as well as formaldehyde induced fluorescence indicative of intracellular catecholamines. - ATCC. (Biedler, et al. Morphology and Growth, Tumorigenicity, and Cytogenetics of Human Neuroblastoma Cells in Continuous Culture. Cancer Research 33, 2643-2652, November 1973.)|ectoderm	Neu@ SK-N-MC?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX199863	AG04450|AG04450|fetal lung fibroblast|endoderm	Lng@ AG04450?4
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX189953	AoAF|AoAF|aortic adventitial fibroblast cells|mesoderm	CDV@ AoAF?4
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX183915	CD8+ T cells|CD8+ T cells	Bld@ CD8-Positive T-Lymphocytes?3
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX181498	CD14dimCD16+ non-classical blood monocytes|CD14dimCD16+ non-classical blood monocytes	Bld@ Monocytes-CD14+?4
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX155777	patient colon tumor|Patient Tumor	Dig@ Colon cancer?0
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX155771	patient breast tumor|Patient Tumor	Brs@ Breast cancer cells?0
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX155765	BPE cells|Immortalized mammary epithelial cells	Brs@ BPE?0
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX155732	MCF10A CELLS|Immortalized mammary epithelial cells	Brs@ MCF 10A?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX142803	Primary Cell|CD25- IL17- Th stim MACS|presumed normal|CD4+ T cell	Bld@ CD4-Positive T-Lymphocytes?3
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX142791	Primary Cell|CD25- IL17+ Th17 stim|presumed normal|CD4+ T cell	Bld@ CD4-Positive T-Lymphocytes?3
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX142759	Primary Cell|CD25int CD127+ Tmem|presumed normal|CD4+ T cell	Bld@ CD4-Positive T-Lymphocytes?3
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX142754	Primary Cell Culture|hN (ES H9 derived Neurons)|none|&gt;90% beta III tubulin(+) and &gt;60% MAP2(+)	PSC@ hESC derived neural cells?0
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX142753	Primary Cell Culture|hNP (ES H9 derived Nuronal Progenitors)|none|&gt;90% nestin(+) and &lt;5% Oct-4(+)	PSC@ hESC derived neural cells?0
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX1165110	MFC7|MCF7 cells|Breast adenocarcinoma	MFC7|MCF7 cells|Breast adenocarcinoma
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX1094506	TC-797 (Toretsky et al. 2003)|797Trex|NMC	TC-797 (Toretsky et al. 2003)|797Trex|NMC
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX1094502	1015 (Grayson et al. 2014)|1015c cells|NMC	1015 (Grayson et al. 2014)|1015c cells|NMC
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX103008	MCF-7|mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis	Brs@ MCF-7?1
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX102998	GM12892|B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed	Bld@ GM12892?4
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX1012764	Xenograft_MCF7_PR_E2|xenografts tumors in vivo	Xenograft_MCF7_PR_E2|xenografts tumors in vivo
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX1012758	Xenograft_MCF7_PR_E2+PG|xenografts tumors in vivo	Xenograft_MCF7_PR_E2+PG|xenografts tumors in vivo
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX1012750	Xenograft_MCF7_ER_E2|xenografts tumors in vivo	Xenograft_MCF7_ER_E2|xenografts tumors in vivo
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX1012744	Xenograft_MCF7_ER_E2+PG|xenografts tumors in vivo	Xenograft_MCF7_ER_E2+PG|xenografts tumors in vivo
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX1002691	FT33|fallopian tube secretory epithelial cell line|fallopian tube secretory epithelial cells	FT33|fallopian tube secretory epithelial cell line|fallopian tube secretory epithelial cells
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX1002683	FT246|fallopian tube secretory epithelial cell line|fallopian tube secretory epithelial cells	FT246|fallopian tube secretory epithelial cell line|fallopian tube secretory epithelial cells
