NoCell	NoD@ NA
GM12865|GM12865|B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM12865
HMEC|HMEC|mammary epithelial cells|ectoderm	Brs@ HMEC
H1-neurons|neurons derived from H1 embryonic stem cells, newly promoted to tier 2: not in 2011 analysis|ectoderm	PSC@ hESC derived neural cells
SK-N-SH_RA|SK-N-SH_RA|neuroblastoma cell line, treatment: differentiated with retinoic acid, (Biedler, et al. Morphology and Growth, Tumorigenicity, and Cytogenetics of Human Neuroblastoma Cells in Continuous Culture. Cancer Research 33, 2643-2652, November 1973.)|ectoderm	Neu@ SK-N-SH
HRE|HRE|renal epithelial cells|mesoderm	Kid@ HRE
GM06990|GM06990|B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah, treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM06990
BJ|BJ|skin fibroblast, The line was established from skin taken from normal foreskin. - ATCC.  (PMID: 9916803)	Epd@ BJ
MCF-7|MCF-7 breast adenocarcinoma cells, thiostrepton, FOXM1 ChIP|ER-positive breast adenocarcinoma cells	Brs@ MCF-7
MCF-7|MCF-7 breast adenocarcinoma cells, control, FOXM1 ChIP|ER-positive breast adenocarcinoma cells	Brs@ MCF-7
CD14+CD16- classical blood monocytes|CD14+CD16- classical blood monocytes	Bld@ Monocytes-CD14+
Human primary adult proerythroblasts (ProEs)|CD34+ HSPC-derived proerythroblasts|adult bone marrow	Bld@ CD34+
LNCaP prostate cancer cells|prostate cancer cells	Prs@ LNCAP
HuH7 cells, mitotic block and release|HuH7	Liv@ HuH-7
HuH7 cells, asynchronously cycling|HuH7	Liv@ HuH-7
Raji|Human Raji WT|Burkitt's lymphoma	Bld@ RAJI
stimulated PBMCs_STAT4 ChIP-Seq|peripheral blood mononuclear cells (PBMCs)	Bld@ PBMC
stimulated PBMCs_IRF5 ChIP-Seq|peripheral blood mononuclear cells (PBMCs)	Bld@ PBMC
non-stimulated PBMCs_IRF5 ChIP-Seq|peripheral blood mononuclear cells (PBMCs)	Bld@ PBMC
GM12892|GM12892|B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM12892
GM10847|GM10847|lymphoblastoid, International HapMap Project, CEPH/Utah, treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM10847
GM18951|GM18951|lymphoblastoid, International HapMap Project, Japanese in Tokyo, Japan, treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM18951
GM15510|GM15510|lymphoblastoid NIGMS Human Genetic Cell Repository, DNA Polymorphism Discovery Resource Collection, treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM15510
GM12891|GM12891|B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM12891
GM18526|GM18526|lymphoblastoid, International HapMap Project, Han Chinese in Beijing, China, treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM18526
GM18505|GM18505|lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM18526
GM19099|GM19099|lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM19099
GM19193|GM19193|lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM19193
WI-38|WI-38|Embryonic Lung Fibroblast Cells, hTERT immortalized, includes Raf1 construct|Fibroblast	Lng@ WI-38
non-tumorigenic epithelial cell line MCF 10A|MCF10A	Brs@ MCF 10A
Germinal center B cells|Primary cells	Bld@ B-Lymphocytes
Colon cancer_H3K27ac_ChIPSeq|Colon Cancer	Dig@ Colon cancer
BCBL1|BCBL1 Pleural Effusion Lymphoma (PEL)cell line	Bld@ BCBL1
Kasumi-1 transfection with RUNX1/ETO siRNA|Kasumi-1	Bld@ Kasumi-1
Kasumi-1 transfection with mismatch siRNA|Kasumi-1	Bld@ Kasumi-1
IMR90|human IMR90 fibroblasts|fetal lung fibroblast	Lng@ IMR-90
Primary Tissue|Fetal Renal Cortex, Left|UW|None	Kid@ Kidney Cortex
Primary Tissue|Fetal Renal Pelvis, Left|UW|None	Kid@ Kidney Pelvis
Primary Tissue|Fetal Renal Pelvis, Right|UW|None	Kid@ Kidney Pelvis
erythroblasts|primary human PBMC derived erythroblasts	Bld@ PBMC
H9 hESCs|H9 hESCs	PSC@ hESC H9
HUVEC|Primary endothelial cells	CDV@ HUVEC
Hela S3 cells	Utr@ HeLa
Cell line derived from Burkitt's lymphoma|B cells	Bld@ Lymphoma, B-Cell
AB32|AB32 PR positive transformed normal breast cell line|Breast	Brs@ MCF 10A
Primary Cell|CD25- Th|presumed normal|CD4+ T cell	Bld@ CD4-Positive T-Lymphocytes
HL-60|HL-60|Human promyelocytic leukemia cells. (PMID: 276884)	Bld@ HL-60
HRPEpiC|HRPEpiC|Human Retinal Pigment Epithelial Cells|ectoderm	Oth@ HRPEpiC
GM12864|GM12864|B-Lymphocyte, Lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, Treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM12864
HCFaa|HCFaa|Human Cardiac Fibroblasts-Adult Atrial	CDV@ HCFaa
HMEC|HMEC|Human Mammary Epithelial Cells	Brs@ HMEC
HA-sp|HA-sp|Human astrocytes spinal cord|Astrocytic	Neu@ HA-sp
HEK293|Untransformed embryonic kidney cell line	Kid@ 293
K562 (leukemic)|hematopoietic cell|leukemic	Bld@ K-562
Primary Cell|cultured CD34|none|CD34+	Bld@ CD34+
MCF7, tamoxifen resistance|Tamoxifen resistance MCF7 cell line|Breast cancer cell	Brs@ MCF-7
HelaS3|cervical carcinoma	Utr@ HeLa
MCF-7 breast cancer cell line|MCF-7 breast cancer cells	Brs@ MCF-7
LCL|lymphoblastoid cell line	Bld@ Lymphoblastoid cell line
HeLa S3 cells (ATCC/National Cell Culture Center)|cervix; adenocarcinoma; epithelial	Utr@ HeLa
Kasumi-1 (leukemic)|hematopoietic cell|leukemic	Bld@ Kasumi-1
Caco-2|differentiated Caco-2 cells|human intestinal cell line	Dig@ Caco-2
Embyonic stem cells|H9	PSC@ hESC H9
IMR90|Chromatin IP against p130	Lng@ IMR-90
HEK293T|kidney cell	Kid@ 293
SKMC|SKMC|skeletal muscle cells|mesoderm	Myo@ SKMC
TKO|Multiple myeloma|Multiple myeloma	Bld@ Multiple Myeloma
HeLa S3 (ATCC/Snyder Lab)	Utr@ HeLa
kidney|adult	Kid@ Kidney
T-ALL|MOLT3	Bld@ T-ALL
Monocytes|monocyte	Bld@ Monocytes
UtE-iPS-7|hiPSC	PSC@ iPS cells
UtE-iPS-6|hiPSC	PSC@ iPS cells
UtE-iPS-4|hiPSC	PSC@ iPS cells
UtE-iPS-11|hiPSC	PSC@ iPS cells
MRC-iPS-25|hiPSC	PSC@ iPS cells
AM-iPS-8|hiPSC	PSC@ iPS cells
AM-iPS-6|hiPSC	PSC@ iPS cells
ketatinocytes	Epd@ Keratinocytes
LNCaP|LNCaP cells|Prostate adenocarcinoma	Prs@ LNCAP
Primary Tissue|Bladder|N/A|None	Oth@ Urinary Bladder
NHLF	Lng@ NHLF
HMEC	Brs@ HMEC
293T cells|293T	Kid@ 293
MCF-7|Breast cancer cells	Brs@ MCF-7
Hela	Utr@ HeLa
WA-7|Cell Line|embrionic stem cell|none|undifferentiated	PSC@ hESC WA-7
HeLa|HeLa, ChIP_Seq	Utr@ HeLa
MR4 cells	Bld@ MR4
Hs68	Epd@ Hs 68
HEK293-T	Kid@ 293
kidney|normal	Kid@ Kidney
ZR-75-1|epithelial	Brs@ ZR-75-1
LNCaP|epithelial	Prs@ LNCAP
LNCAP|prostate|epithelial	Prs@ LNCAP
TAM_R|breast cancer	Brs@ MCF-7
HEK293|HEK293 Cells|embryonic kidney	Kid@ 293
high-MYCN-Neuroblastoma patient cells|Neuroblastoma patient cells	Neu@ Neuroblastoma
MPNST cell line 90-8TL|MPNST cells 90-8TL_PDJQ	Neu@ 90-8TL
MPNST cell line 90-8TL|MPNST cells 90-8TL_DMSO	Neu@ 90-8TL
HUES64|dME_shGATA4_3|dME shGATA4	PSC@ hESC derived mesendodermal cells
HUES64|dME_shGATA4_2|dME shGATA4	PSC@ hESC derived mesendodermal cells
HUES64|dME_shGATA4_1|dME shGATA4	PSC@ hESC derived mesendodermal cells
HUES64|dEN_shGATA4_3|dEN shGATA4	PSC@ hESC derived mesendodermal cells
HUES64|dEN_shGATA4_2|dEN shGATA4	PSC@ hESC derived mesendodermal cells
HUES64|dEN_shGATA4_1|dEN shGATA4	PSC@ hESC derived mesendodermal cells
embryonic stem cells, KAP1 ChIP	PSC@ Embryonic Stem Cells
embryonic stem cells, input	PSC@ Embryonic Stem Cells
Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
Induced pluripotent stem cells|Induced pluripotent stem cells	PSC@ iPS cells
Human dermal fibroblast|OCT3/4, SOX2 and KLF4-overexpressed Human dermal fibroblast	Epd@ Dermal fibroblast
LEC-219|Dermal lymphatic endothelium|Dermal lymphatic endothelial cells	Oth@ LEC
LEC|Dermal lymphatic endothelium|Dermal lymphatic endothelial cells	Oth@ LEC
iSLK|Kidney epithelium|Kidney epithelial cells	Kid@ iSLK
BCBL-1|Primary effusion lymphoma|Primary effusion lymphoma B cells	Bld@ BCBL1
Lymphoblastoid cell line|Lymphoblastoid|blood, peripheral vein	Bld@ Lymphoblastoid cell line
HAEC H3K9Me3 SAHA|Primary Human Aortic Endothelial Cells (HAECs)	CDV@ HAEC
HAEC H3K9Me3 control|Primary Human Aortic Endothelial Cells (HAECs)	CDV@ HAEC
HAEC H3K9/14ac SAHA|Primary Human Aortic Endothelial Cells (HAECs)	CDV@ HAEC
HAEC H3K9/14ac control|Primary Human Aortic Endothelial Cells (HAECs)	CDV@ HAEC
HAEC H3K4Me3 SAHA|Primary Human Aortic Endothelial Cells (HAECs)	CDV@ HAEC
HAEC H3K4Me3 control|Primary Human Aortic Endothelial Cells (HAECs)	CDV@ HAEC
--|normal primary dermal fibroblasts|normal primary dermal fibroblasts	Epd@ Dermal fibroblast
MCF-7|mammary gland, adenocarcinoma	Brs@ MCF-7
T47D|breast cancer cells|ER positive breast cancer cells	Brs@ T-47D
androgen-dependent prostate cancer derived cell line LNCaP|prostate cell line	Prs@ LNCAP
MCF-7|Breast cancer cell line MCF-7	Brs@ MCF-7
Human breast cancer cell line|TAMR	Brs@ MCF-7
Human breast cancer cell line|BT474	Brs@ BT-474
Human breast cancer cell line|T47D	Brs@ T-47D
Human breast cancer cell line|ZR75	Brs@ ZR-75-1
Human tumour tissue|BT81585	Oth@ Tumour tissues
Human tumour tissue|NT2350	Oth@ Tumour tissues
Human tumour tissue|NT2304	Oth@ Tumour tissues
MM1.S|MM1S_BRD3|Multiple myeloma	Bld@ MM.1S
MM1.S|MM1S_BRD2|Multiple myeloma	Bld@ MM.1S
Mock-treated K562 erythroleukemia cells	Bld@ K-562
Primary Cell Culture|Fibroblasts, Fetal Skin, Quadriceps, Right|None|NA	Epd@ Fetal skin
Primary Cell Culture|Fibroblasts, Fetal Skin, Biceps, Right|None|NA	Epd@ Fetal skin
Primary Cell Culture|Fibroblasts, Fetal Skin, Upper Back|None|NA	Epd@ Fetal skin
Primary Cell Culture|Fibroblasts, Fetal Skin, Abdomen|None|NA	Epd@ Fetal skin
Primary Cell Culture|Fibroblasts, Fetal Skin, Scalp|None|NA	Epd@ Fetal skin
Primary Cell Culture|Fibroblasts, Fetal Skin, Back|None|NA	Epd@ Fetal skin
ReN-VM|differentiating neural culture	Neu@ ReN-VM
LS174T|LS174T, GATA6 ChIP|colorectal carcinoma	Dig@ LS-174T
SH-SY5Y|FBio-CHD5 expressing SH-SY5Y cells|neuroblastoma cell line	Neu@ SH-SY5Y
LNCaP-pcDNA3.1|pcDNA3.1 cell line	Prs@ LNCAP
LNCaP-ARhi|ARhi cell line	Prs@ LNCAP
LNCaP-ARmo|ARmo cell line	Prs@ LNCAP
HCT116|colorectal carcinoma	Dig@ HCT 116
T47D-MTVL breast cancer cell line|T47D-MTVL breast cancer cell line	Brs@ T-47D
Mutu III|Mutu III Burkitt's Lymphoma cell-line|B-cell line derived from a tumour biopsy	Bld@ Mutu
Human Mammary Epithelial Cells|Mammary epithelial cells	Brs@ Breast cells
SUM185PE|breast cancer cells|breast cancer cells	Brs@ SUM 185PE
U937CM|U937CM cell line (leukemic)|leukemic cell line	Bld@ U-937
Primary Tissue|Spleen|N/A|iron deficiency, bipolar	Oth@ Spleen
HUES64 derived CD184+|Cell Line|endoderm|presumed normal|differentiated	PSC@ hESC derived mesendodermal cells
Primary Cell|CD3 Primary Cells|None|CD3	Bld@ CD3+
CD4+ T cells activated by IL-2|CD4+ T cells	Bld@ CD4-Positive T-Lymphocytes
Prostate cancer cell line|VCaP cell line	Prs@ VCaP
CAL-1|CAL-1 cell line	Bld@ CAL1
APL bone marrow blasts|Primary diagnosis	Bld@ Leukemia, Myeloid
M059J|M059J|malignant glioblastoma, glioma, lack DNA-dependent protein kinase activity, deficient in repair of DNA double strand breaks, the cells are negative for glial fibrillary acidic protein (GFAP), tumor specimen taken from a 33 year old|ectoderm	Neu@ M059J
RPMI-7951|RPMI-7951|Human Skin Malignant Melanoma Cells, This is a hyperdiploid human cell line with the modal chromosome number of 49, occurring in 24% of cells. Polyploid cells occurred at 22%, which is high.|ectoderm	Epd@ RPMI-7951
Primary Cell Culture|Variant Human Mammary Epithelial Cells|None|NA	Brs@ Breast cells
HRPEpiC|HRPEpiC|retinal pigment epithelial cells|ectoderm	Oth@ HRPEpiC
GM12864|GM12864|B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM12864
HCF|HCF|cardiac fibroblasts|mesoderm	CDV@ HCF
AG10803|AG10803|abdominal skin fibroblasts from apparently heathly 22 year old, 8% of the cells examined showing random chromosome loss, 2% showing random chromosome gain, and 2% showing 69,XYY -Coriell	Epd@ AG10803
HCFaa|HCFaa|cardiac fibroblasts- adult atrial|mesoderm	CDV@ HCFaa
HCPEpiC|HCPEpiC|choroid plexus epithelial cells|ectoderm	Neu@ HCPEpiC
HMF|HMF|mammary fibroblasts	Brs@ HMF
HPF|HPF|pulmonary fibroblasts isolated from lung tissue	Lng@ HPF
H9 hESC|RA-mediated differentiating hESC	PSC@ hESC derived neural cells
H9 hESC|Pluripotent hESC	PSC@ hESC H9
H1|Embryonic stem cells	PSC@ hESC H1
H2171|Small Cell Lung Carcinoma	Lng@ NCI-H2171
H128|Small Cell Lung Carcinoma	Lng@ NCI-H128
Alveolar Epithelial type 2 (AT2 cell)|in vitro diffrentiated AT1 cells	Lng@ AT2
Alveolar Epithelial type 2 (AT2 cell)|Primary isolated AT2 cells	Lng@ AT2
MCF-7|siNT_ER_estrogen|breast cancer cells	Brs@ MCF-7
22RV1|prostate cancer cells	Prs@ 22Rv1
Human primary fetal proerythroblasts (ProEs)|CD34+ HSPC-derived proerythroblasts|2-trimester fetal liver	Bld@ CD34+
HPB-ALL|T-cell acute lymphoblastic leukemia cells	Bld@ T-ALL
BT20 cells|breast cancer cell line	Brs@ BT-20
NCIH838 cells|lung cancer cell line	Lng@ NCI-H838
SKBR3 cells|breast cancer cell line	Brs@ SK-BR-3
NCIH441 cells|lung cancer cell line	Lng@ NCI-H441
MCF7 cells|breast cancer cell line	Brs@ MCF-7
HT29 cells|colon cancer cell line	Dig@ HT-29
HCT15 cells|colon cancer cell line	Dig@ HCT-15
SW620 cells|colon cancer cell line	Dig@ SW 620
ZR751 cells|breast cancer cell line	Brs@ ZR-75-1
NCI1703 cells|lung cancer cell line	Lng@ NCI-H1703
non-stimulated PBMCs_STAT4 ChIP-Seq|peripheral blood mononuclear cells (PBMCs)	Bld@ PBMC
Lymphoblastoid cells|HLS554P	Bld@ Lymphoblastoid cells
Acute lymphoblastic leukemia cells with MLL/AF4 translocation, input|RS4;11 ALL cells	Bld@ RS4-11
PBDE|PBDE|peripheral blood-derived erythroblasts|mesoderm	Bld@ PBDE
SH-SY5Y|SH-SY5Y|neuroblastoma clonal subline of the neuroepithelioma cell line SK-N-SH from the 1970 bone marrow biopsy of a 4-year-old girl with metastatic neuroblastoma, trisomy of 1q|ectoderm	Neu@ SK-N-SH
U2OS|U2OS|osteosarcoma from the tibia of a 15 year old, J. Ponten and E. Saksela derived this line (originally 2T) in 1964 from a moderately differentiated sarcoma, viruses were not detected during co-cultivation with WI-38 cells or in CF tests against SV40, RSV or adenoviruses, mycoplasma contamination was detected and eliminated in 1972, (PMID: 6081590)|mesoderm	Bon@ U2OS
HAEC|HAEC_H3K9Me3_500nM TSA_12h|Primary Human Aortic Endothelial Cells	CDV@ HAEC
HAEC|HAEC_H3K4Me3_500nM TSA_12h|Primary Human Aortic Endothelial Cells	CDV@ HAEC
HAEC|HAEC_H3K9/14ac_500nM TSA_12h|Primary Human Aortic Endothelial Cells	CDV@ HAEC
HAEC|HAEC_H3K9Me3_control|Primary Human Aortic Endothelial Cells	CDV@ HAEC
HAEC|HAEC_H3K4Me3_control|Primary Human Aortic Endothelial Cells	CDV@ HAEC
HAEC|HAEC_H3K9/14ac_control|Primary Human Aortic Endothelial Cells	CDV@ HAEC
Primary Tissue|Fetal Brain|Brain|presumed normal	Neu@ Fetal brain
U87MG|U87MG cell line, 2 million EGFRvIII|glioblastoma	Neu@ U-87 MG
Normal Colon Crypt_H3K4me3_ChIPSeq|Normal Colon Crypt	Dig@ Crypt
Colon cancer_H3K4me3_ChIPSeq|Colon Cancer	Dig@ Colon cancer
Normal Colon Crypt_H3K27ac_ChIPSeq|Normal Colon Crypt	Dig@ Crypt
Normal Colon Crypt_input DNA|Normal Colon Crypt	Dig@ Crypt
Normal Colon Crypt_H3K4me1_ChIPSeq|Normal Colon Crypt	Dig@ Crypt
embryonic carcinoma NCCIT|pluripotent cells	PSC@ NCCIT
LNCap|Prostate Cancer Cell Line	Prs@ LNCAP
K562-WCE|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-RBBP5 ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
786-O clear cell renal carcinoma cells|786-O clear cell renal carcinoma cells	Kid@ 786-O
A549|Lung cancer cell line	Lng@ A549
melanoma cell line LOXIMVI|melanoma cell line LOXIMVI|malignant melanoma, lymph node metastasis	Epd@ LOX-IMVI
melanoma cell line SK-MEL-28|melanoma cell line SK-MEL-28|malignant melanoma, noncutaneous metastasis	Epd@ SK-MEL-28
Human Epidermal Melanocytes, adult, lightly pigmented donor (HEMa-LP)|HEMa melanocytes|normal skin	Epd@ Melanocytes
Human Epidermal Melanocytes, neonatal, lightly pigmented donor (HEMn-LP)|HEMn melanocytes|normal skin	Epd@ Melanocytes
MelJuSo|MelJuSo cells|Human skin melanoma cell line	Epd@ MEL-JUSO
keratinocytes|neonatal keratinocytes	Epd@ Keratinocytes
MDA-231|MDA-231_HOTAIR|MDA-231 cell line overexpressing human HOTAIR	Brs@ MDA-MB-231
HeLa|HeLa_Terc|HeLa S3 cells overexpressing human telomerase and TERC	Utr@ HeLa
HeLa S3 cells|Human epithelial carcinoma cell line	Utr@ HeLa
Primary Tissue|Fetal Renal Cortex, Right|UW|None	Kid@ Kidney Cortex
GM12878|lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus|mesoderm	Bld@ GM12878
GM12892|B-Lymphocyte, Lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, Treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM12892
IMR90|fetal lung fibroblast IMR90 cell line|fetal lung fibroblast	Lng@ IMR-90
Input ChIP-seq CD34+ progenitors BIO|Hematopoietic Stem &amp; Progenitor Cells	Bld@ CD34 Hematopoietic stem cells
Input ChIP-Seq CD34 erythroid BIO|Pro-erythroblasts	Bld@ CD34+
U2OS|U2OS|Osteosarcoma from the tibia of a 15 year old human female, J. Ponten and E. Saksela derived this line (originally 2T) in 1964 from a moderately differentiated sarcoma, viruses were not detected during co-cultivation with WI-38 cells or in CF tests against SV40, RSV or adenoviruses, mycoplasma contamination was detected and eliminated in 1972. (PMID: 6081590)|mesoderm	Bon@ U2OS
Pluripotent hESC (H9)|H9 hESC	PSC@ hESC H9
BJ|BJ|skin fibroblast, The line was established from skin taken from normal foreskin. - ATCC.  (PMID: 9916803)|ectoderm	Epd@ BJ
HEK293|HEK293|embryonic kidney. (PMID: 11967234)|endoderm	Kid@ 293
GM12872|GM12872|B-Lymphocyte, Lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, Treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM12872
GM12875|GM12875|B-Lymphocyte, Lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, Treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM12875
MCF-7|MCF-7|mammary gland, adenocarcinoma. (PMID: 4357757)	Brs@ MCF-7
AG10803|AG10803|abdominal skin fibroblasts from apparently heathly 22 year old|mesoderm	Epd@ AG10803
GM12874|GM12874|B-Lymphocyte, Lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, Treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM12874
AG09309|AG09309|adult toe fibroblast from apparently healthy 21 year old|mesoderm	Epd@ AG09309
HCM|HCM|Human Cardiac Myocytes|mesoderm	CDV@ HCM
GM12873|GM12873|B-Lymphocyte, Lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, Treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM12873
AG09319|AG09319|gum tissue fibroblasts from apparently heathly 24 year old|mesoderm	Oth@ AG09319
NHDF-neo|NHDF-neo|Neonatal Human Dermal Fibroblasts|mesoderm	Epd@ NHDF
NB4|NB4|acute promyelocytic leukemia cell line. (PMID: 1995093)	Bld@ NB-4
HCF|HCF|Human Cardiac Fibroblasts|mesoderm	CDV@ HCF
GM12878|GM12878|lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus|mesoderm	Bld@ GM12878
HVMF|HVMF|Human Villous Mesenchymal Fibroblast Cells	Plc@ HVMF
K562|K562_cMYC|chronic myeloid leukemia	Bld@ K-562
HepG2|HepG2_PolII|liver carcinoma cells	Liv@ Hep G2
HepG2|HepG2_cMYC|liver carcinoma cells	Liv@ Hep G2
HepG2|liver carcinoma cells|carcinoma cells|liver	Liv@ Hep G2
HepG2|liver carcinoma cells|liver carcinoma cells	Liv@ Hep G2
NB4|NB4 cells (leukemic), untreated, HpaII NA-Seq|leukemic cells	Bld@ NB-4
NB4|NB4 cells (leukemic), untreated, NlaIII NA-Seq|leukemic cells	Bld@ NB-4
K562|K562|leukemia|The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. - ATCC	Bld@ K-562
chronic myeloid leukemia cell line|K562 cell line	Bld@ K-562
Primary Tissue|Fetal Lung|Lung|presumed normal	Lng@ Fetal lung
breast adenocarcinoma cell line|MCF7 cell line stably expressing HA ER E2F1C mutant	Brs@ MCF-7
T47D breast cancer cells|T47D breast cancer cells, non-treated	Brs@ T-47D
T47D breast cancer cells|T47D breast cancer cells, E2 treated	Brs@ T-47D
MCF-7 breast cancer cells|MCF-7 breast cancer cells, non-treated	Brs@ MCF-7
MCF-7 breast cancer cells|MCF-7 breast cancer cells, E2 treated	Brs@ MCF-7
Hematopoietic Stem &amp; Progenitor Cells, MEIS1 ChIP|CD133+ expanded umbilical cord blood (UCB) cells	Bld@ Hematopoietic Stem Cells
aTconv cells from PBMC, normal|aTconv cells	Bld@ PBMC
Human Adipocytes|Simpson Golabi Behmel Syndrome (SGBS) human adi- pocytes	Adp@ SGBS
blood cells|Jurkat cells	Bld@ Jurkat
blood cells|CD4+ T cells	Bld@ CD4-Positive T-Lymphocytes
CMK|CMK Cells	Bld@ CMK
Embyonic stem cells|BGO3 (feeder free)	PSC@ hESC BG03
T47D breast cancer cells|T47D breast cancer cells	Brs@ T-47D
ECC1 breast cancer cells|ECC1 breast cancer cells	Utr@ ECC-1
Ishikawa breast cancer cells|Ishikawa breast cancer cells	Utr@ Ishikawa
Caco-2|proliferating Caco-2 cells|human intestinal cell line	Dig@ Caco-2
neuroblastoma cell line SH-SY5Y|neuroblastoma cell line	Neu@ SH-SY5Y
H1|embryonic stem cells|embryonic stem cell	PSC@ hESC H1
pancreatic islet cells|Purified pancreatic islets	Pan@ Pancreatic islets
H1 (WA01)|Cell Line|n/a|None|undifferentiated	PSC@ hESC H1
MCF7|human breast cancer cell	Brs@ MCF-7
MCF-7|epithelial cell	Brs@ MCF-7
OCIAML3|myelomonocyte|blood|acute myeloid leukemia	Bld@ OCI-AML3
HCCA|IHEC38|Human Common Carotid Artery|Human Common Carotid Artery (HCCA) from 68 years old Japanese female donor (cause of death Alive,sample from CEA operation) provided by Brain Attack Center, Ota Memorial Hospital (Hiroshima, Japan) (Lot. CRIF2C)|aortic endothelial cells|the endothelium of blood vessels|carotid stenosis	CDV@ Carotid Arteries
HEEpiC|HEEpiC|esophageal epithelial cells|endoderm	Dig@ HEEpiC
HPAF|HPAF|pulmonary artery fibroblasts|mesoderm	CDV@ HPAF
LNCaP	Prs@ LNCAP
501Mel|501Mel|melanoma	Epd@ 501A
T98G|Brain|Glioblastoma|Brain	Neu@ T98G
451Lu|451Lu|melanoma	Epd@ 451Lu
prefrontal cortex	Neu@ Prefrontal Cortex
LCL|LCL	Bld@ Lymphoblastoid cell line
SKBr3|SKBr3|breast cancer epithelial cells	Brs@ SK-BR-3
HT29|Colon Carcinoma|Colon Carcinoma	Dig@ HT-29
flag-Anp32e-HeLa	Utr@ HeLa
HeLa|Hela_TFAM_20G2C12	Utr@ HeLa
HeLa|Hela_Input_20G2C12	Utr@ HeLa
IMR90|IMR90_MeCP2	Lng@ IMR-90
Fibrobl_GM03348|Fibrobl_GM03348|skin fibroblast	Epd@ Fibrobl GM03348
HSMMtube	Myo@ HSMM
CD20+	Bld@ CD20+
CD20+_RO01794	Bld@ CD20+
REH|REH	Bld@ REH
K562|K562	Bld@ K-562
Melanomas|WM262	Epd@ WM262
HCT-116	Dig@ HCT 116
K562-C/EBPA|K562-C/EBPA|K562-C/EBPA	Bld@ K-562
Th1 cells|Th1	Bld@ Th1 Cells
GM12878|lymphoblastoid cells|lymphoblastoid cells	Bld@ GM12878
COLO-320|colorectal cancer cells	Dig@ COLO 320
Primary Tissue|Fetal lung|lung|none	Lng@ Fetal lung
primary cells|primary keratinocyte|keratinocytes|epidermis	Epd@ Keratinocytes
HL60|Blood|N/A|N/A|Cancer	Bld@ HL-60
K562|Blood|N/A|N/A|Cancer	Bld@ K-562
MUTZ-3|myeloblast	Bld@ MUTZ-3
N/A|N/A|N/A|N/A|N/A	Unc@ Unclassified
MCF-10a|breast|epithelial	Brs@ MCF 10A
T-47D|breast cancer	Brs@ T-47D
Day 8 differentiated cells|Day 8 differentiated cells	PSC@ hESC derived neural cells
undifferentiated hESCs|undifferentiated hESCs	PSC@ Embryonic Stem Cells
A673|A673|muscle|Ewing sarcoma	Myo@ A-673
RJ2.2.5 cells|RJ2.2.5 cells	Bld@ RAJI
ZR-75-1|Breast Cancer|Breast	Brs@ ZR-75-1
BT-549|Breast Cancer|Breast	Brs@ BT-549
MDA-MB-468|Breast Cancer|Breast	Brs@ MDA-MB-468
