NoAb	NoD@ NA
none|Total thymocytes, input	InP@ Input control
none|neural stem cells	InP@ Input control
None|Input data from Wildtype B3 Cells	InP@ Input control
Anti-haemagglutinin (HA) (Covance).|ChIP-Seq data from HA-Ikaros transduced B3 cells using Anti-haemagglutinin (HA)	Oth@ Epitope tags
Rabbit anti-C-terminal Ikaros|ChIP-Seq data from Wildtype B3 Cells using Rabbit anti-C-terminal Ikaros antibody	Oth@ Ikzf1
H2BK20ac (ab52988, Abcam)|FACS-purified Pou5f1-GFP-positive germ cells	His@ H2BK20ac
H3K27me3|embryonic fibroblasts	His@ H3K27me3
PolII|murine embryonic stem cells	Pol@ RNA Polymerase II
H3K27me3 Ab (gift from T.Jenuwein)|Mature B	His@ H3K27me3
H3K4me2 Ab (Upstate 07-030, Lot# DAM1474881)|Mature B	His@ H3K4me2
HSF-1|STHdhQ7/Q7 striatal cells	Oth@ Hsf1
Fbxl10 (custom-made)|embryonic stem cells	Oth@ Kdm2b
none|Mouse V19-OSKM Fibroblast, Utx-/Y	InP@ Input control
H3K4me3; ChIP grade, ab8580, abcam|Mouse V19-OSKM Fibroblast, Utx-/Y	His@ H3K4me3
H3K27me3; ChIP grade, 07-449, Millipore|Mouse V19-OSKM Fibroblast, Utx-/Y	His@ H3K27me3
UTX Ab-UTX 5/1, PID 17178841|Mouse V19-OSKM Fibroblast	Oth@ Kdm6a
H3K4me3; ChIP grade, ab8580, abcam|Mouse V19-OSKM Fibroblast	His@ H3K4me3
H3K27me3; ChIP grade, 07-449, Millipore|Mouse V19-OSKM Fibroblast	His@ H3K27me3
H3K4me3|H3K4me3|3.2N Menin-null Embryonic Stem Cells	His@ H3K4me3
H3K4me3|H3K4me3|TC1 Embryonic Stem Cells	His@ H3K4me3
input|3.2N Menin-null Embryonic Stem Cells	InP@ Input control
input|TC1 Embryonic Stem Cells	InP@ Input control
IRF3|primary bone marrow-derived macrophages	Oth@ Irf3
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|MEL	Oth@ Ctcf
H3K27Ac, Abcam: Ab4729|C1C12 myotubes differentiated for 96h	His@ H3K27ac
H3K27Ac, Abcam: Ab4729|Growing C1C12 myoblasts	His@ H3K27ac
Input|Control signal which may be subtracted from experimental raw signal before peaks are called.|Spleen	InP@ Input control
Input|Control signal which may be subtracted from experimental raw signal before peaks are called.|ES-Bruce4	InP@ Input control
Input|Control signal which may be subtracted from experimental raw signal before peaks are called.|MEF	InP@ Input control
Input|Control signal which may be subtracted from experimental raw signal before peaks are called.|Lung	InP@ Input control
Input|Control signal which may be subtracted from experimental raw signal before peaks are called.|Cerebellum	InP@ Input control
Input|Control signal which may be subtracted from experimental raw signal before peaks are called.|Cortex	InP@ Input control
Input|Control signal which may be subtracted from experimental raw signal before peaks are called.|BoneMarrow	InP@ Input control
Input|Control signal which may be subtracted from experimental raw signal before peaks are called.|Kidney	InP@ Input control
H3ac_(06-599)|06-599|missing|rabbit polyclonal antibody raised against a KLH-conjugated peptide corresponding to amino acids 1-20 of Tetrahymena histone H3 (ARTKQTARK*STGGK*APRKQLC) where K* is acetylated. Antibody Target: H3ac|C2C12	His@ H3K9K14ac
H3K36me3|ab9050|Histone H3 (tri-methyl K36). Marks regions of RNAPII elongation, including coding and non-coding transcripts.|rabbit polyclonal. Antibody Target: H3K36me3|C2C12	His@ H3K36me3
H3K4me3|07-473|Histone H3 (tri methyl K4). Marks promoters that are active or poised to be activated.|rabbit polyclonal. Antibody Target: H3K4me3|C2C12	His@ H3K4me3
H3K27me3|07-449|Histone H3 (tri-methyl K27). Marks promoters that are silenced by Polycomb proteins in a given lineage; large domains are found at inactive developmental loci.|rabbit polyclonal. Antibody Target: H3K27me3|C2C12	His@ H3K27me3
H3K79me2_(ab3594)|ab3594|H3K79me2 is a mark of the transcriptional transition region - the region between the initiation marks (K4me3, etc) and the elongation marks (K36me3)|Rabbit polyclonal. Antibody Target: H3K79me2|C2C12	His@ H3K79me2
Pol2|Wild Type MEF	Pol@ RNA Polymerase II
Mll3|Wild Type MEF	Oth@ Kmt2c
H3K4Me3|Wild Type MEF	His@ H3K4me3
CEBPB|sc-150|epitope mapping at the C-terminus of C/EBP-beta of rat origin|Rabbit polyclonal IgG. Antibody Target: CEBPB|C2C12	Oth@ Cebpb
Max|sc-197|The protein encoded by this gene is a member of the basic helix-loop-helix leucine zipper (bHLHZ) family of transcription factors. It is able to form homodimers and heterodimers with other family members, which include Mad, Mxi1 and Myc. Myc is an oncoprotein implicated in cell proliferation, differentiation and apoptosis. The homodimers and heterodimers compete for a common DNA target site (the E box) and rearrangement among these dimer forms provides a complex system of transcriptional regulation. Multiple alternatively spliced transcript variants have been described for this gene but the full-length nature for some of them is unknown (RefSeq).|Rabbit polyclonal IgG, epitope mapping at the C-terminus of Max of human origin. Antibody Target: Max|C2C12	Oth@ Max
USF-1|sc-229|The ubiquitously expressed cellular upstream stimulatory factor (USF) consists of USF-1 and USF-2 polypeptides which independently exhibit site-specific DNA binding and are members of the c-Myc-related family of regulatory factors containing helix-loop-helix domains. USF also contains a leucine repeat that is required for efficient DNA binding. USF was originally identified as an up- stream stimulatory factor that binds the core sequence CACGTG in the adeno- virus late promoter. These findings, together with the demonstration of coop- erative interaction between USF and the initiator-binding protein, TFII-I, raises the possibility of a more general involvement of USF in transcriptional regula- tion. While expression of both USF-1 and USF-2 species is ubiquitous, different ratios of USF homo- and heterodimers are found in different cell types.|Rabbit polyclonal, USF-1 (C-20). Antibody Target: USF1|C2C12	Oth@ Usf1
Mof|Embryonic stem cells	Oth@ Kat8
Rad21|ab992|Synthetic peptide (Human) conjugated to KLH - which represents a portion of human Rad21 encoded within exon 14|Rabbit polyclonal. Antibody Target: RAD21|MEL	Oth@ Rad21
anti-RBP-J 1F1 rat monoclonal|C2C12, DAPT 24h, RBP-J 1F1 ChIP	Oth@ Rbpj
anti-RBP-J 1F1 rat monoclonal|C2C12, Delta 24h, RBP-J 1F1 ChIP	Oth@ Rbpj
anti-RBP-J 1F1 rat monoclonal|C2C12, DAPT 6h, RBP-J 1F1 ChIP	Oth@ Rbpj
anti-RBP-J 1F1 rat monoclonal|C2C12, Delta 6h, RBP-J 1F1 ChIP	Oth@ Rbpj
H3K4me3|Abcam AB8580|Chromatin IP against H3K4me3	His@ H3K4me3
H2BK119ub1|Moshe Oren MOSHE OREN LABORATOR|Chromatin IP against H2Bub	His@ H2BK119ub
RNA polymerase II (ab5095, lot# GR32890-1, Abcam)|uterus	Pol@ RNA Polymerase II
ER alpha (sc-542, lot# D1310, Santa Cruz)|uterus	Oth@ Esr1
H3K4me2|HPC-iPSC H3K4me2 ChIPseq	His@ H3K4me2
H3K4me2|MEF-iPSC H3K4me2 ChIPseq	His@ H3K4me2
H3K4me3|HPC-iPSC H3K4me3 ChIPseq	His@ H3K4me3
H3K4me3|MEF-iPSC H3K4me3 ChIPseq	His@ H3K4me3
H3K27me3|APC H3K27me3 ChIPseq	His@ H3K27me3
H3K27me3|HPC-iPSC H3K27me3 ChIPseq	His@ H3K27me3
H3K27me3|MEF-iPSC H3K27me3 ChIPseq	His@ H3K27me3
APC input DNA	InP@ Input control
HPC input DNA	InP@ Input control
HPC-iPSC input DNA	InP@ Input control
MEF-iPSC input DNA	InP@ Input control
Relb|bone marrow	Oth@ Relb
Rel|bone marrow	Oth@ Rel
anti-Suz12|Suz12 ChIP in RESTko NP cells	Oth@ Suz12
anti-Suz12|Suz12 ChIP in wildtype NP cells	Oth@ Suz12
anti-Nkx3.1 (Santa Cruz Biotechnology, sc-15022)|Nkx3-1_HET_ChIP-Seq	Oth@ Nkx3-1
anti-Nkx3.1 (Santa Cruz Biotechnology, sc-15022)|Nkx3-1_WT_ChIP-Seq	Oth@ Nkx3-1
anti EBF1 #0647 homemade|FO B	Oth@ Ebf1
anti EBF1 #0647 homemade|Pro-B	Oth@ Ebf1
SA1|Chromatin IP against SA1	Oth@ Stag1
SMC3|Chromatin IP against SMC3	Oth@ Smc3
anti-ATF4|Mouse embronic fibroblast	Oth@ Atf4
anti-CHOP|Mouse embronic fibroblast	Oth@ Ddit3
HA-tag antibody (Santa Crruz Biotechnology, sc-7392)|G1ME cells	Oth@ Epitope tags
Anti-H3K4me3 Millipore (#07-473)|Anti-H3K4me3 B6_testis_ChIP-Seq	His@ H3K4me3
Anti-DMC1 (C-20)|Anti-DMC1 Prdm9-/-_testis_SSDS	Oth@ Dmc1
Input DNA with Kinetic Enrichment_testis_SSDS	InP@ Input control
Anti-DMC1 (C-20)|Anti-DMC1 F1_testis_SSDS	Oth@ Dmc1
anti-YY1|Cardiac progenitor cells, YYI ChIP	Oth@ Yy1
H3K4me3|embryonic stem cells	His@ H3K4me3
H3K4me1|embryonic stem cells	His@ H3K4me1
streptavidin|neuronal progenitor cells	Oth@ Biotin
streptavidin|embryonic stem cells	Oth@ Biotin
none (input)|T-ALL mnase input	InP@ Input control
H3K27me3|T-ALL H3K27me3	His@ H3K27me3
none (input)|DP mnase input	InP@ Input control
H3K9ac|DP H3K9ac	His@ H3K9ac
PR|Mouse uterus	Oth@ Pgr
GRIP1|primary bone marrow-derived macrophages	Oth@ Grip1
Antibody H3K27me3 (Millipore 07-449, DAM-1588246)|Embryonic Stem cells	His@ H3K27me3
Bethyl BL3194, lotA300-691A-1|CDX2 ChIP-Seq in WT mouse villus cells	Oth@ Cdx2
RNAPII S5P|CTD4H8 (MMS-128P, Covance)|Undifferentiated ES cells	Pol@ RNA Polymerase II
anti-HA|myeloblastic cell lines transformed with an MSCV-based retrovirus expressing untagged Hoxa9 and untagged Meis1	Oth@ Epitope tags
anti-HA|myeloblastic cell lines transformed with an MSCV-based retrovirus expressing HA-Hoxa9 and Flag-Meis1	Oth@ Epitope tags
anti-HA|myeloblastic cell lines transformed with an MSCV-based retrovirus expressing Flag-Hoxa9 and HA-Meis1	Oth@ Epitope tags
H3K27me3|Embryonic stem cells	His@ H3K27me3
Rad21|Bethyl A300-080A|Embryonic stem cells	Oth@ Rad21
CapG|Tatsuya Hirano AFR310-4L|Embryonic stem cells	Oth@ Ncapg
CapD3|Tatsuya Hirano AFR319-3L|Embryonic stem cells	Oth@ Ncapd3
none|none|Mouse liver cells	InP@ Input control
RPB2|sc-67318|Mouse liver cells	Pol@ Polr2b
H3K36me3|ab9050|Mouse liver cells	His@ H3K36me3
RPC4|CS681, raised against the C-terminus of RPC4, peptide CSPDFESLLDHKHR (same peptide as CS682, see (Chong, Hu et al. 2001))|Mouse liver cells	Pol@ Polr3d
RPC1|CS377, raised against the C-terminus of RPC1, peptide PKRPLIFDTNEFHIPLVT, see (Sepehri and Hernandez 1997)),|Mouse liver cells	Pol@ Polr3a
CBX7|Embryonic stem cells WT	Oth@ Cbx7
H3K27me3 (Millipore)|C2C12 muscle progenitor cells	His@ H3K27me3
H3K4me3 (Abcam)|C2C12 muscle progenitor cells	His@ H3K4me3
PolII 8WG16|C2C12 myoblasts	Pol@ RNA Polymerase II
Pol II|primary myotubes	Pol@ RNA Polymerase II
H3K36me3|Neuronal progenitor (NP) cells derived from mouse embryonic stem cells	His@ H3K36me3
H3K36me3|Embryonic Stem (ES) Cells	His@ H3K36me3
H3K36me3|ab9050|mouse Ik knockout DP thymocytes	His@ H3K36me3
H3K9ac2|06-599|mouse Ik knockout DP thymocytes	His@ H3K9ac
H3K27me3|07-449|mouse Ik knockout DP thymocytes	His@ H3K27me3
H3K4me3|ab8580 and 07-473|mouse Ik knockout DP thymocytes	His@ H3K4me3
none|input_stim_3T3	InP@ Input control
none|input_unstim_3T3	InP@ Input control
none|input_stim_DC	InP@ Input control
none|input_unstim_DC	InP@ Input control
SA2|Chromatin IP against SA2	Oth@ Stag2
H3K4me3|07-473|Histone H3 (tri methyl K4). Marks promoters that are active or poised to be activated.|rabbit polyclonal|MEL	His@ H3K4me3
H3K4me3 Tri-Methyl-Histone H3 (Lys4) (C42D8) Rabbit mAb|embryonic stem cells	His@ H3K4me3
Jarid1b-DAIN|embryonic stem cells	Oth@ Kdm5b
Mbd3|Mbd3 ChIP	Oth@ Mbd3
dimethyl-Histone H3 (Lys4)|Lin-Sca1-cKit+ cells	His@ H3K4me2
none|Megakaryocyte Progenitor Cell Line (G1ME)	InP@ Input control
none|EML cells	InP@ Input control
anti-AML(RUNX1) rabbit polyclonal antibody|PC284|EML cells	Oth@ Runx1
H3K4me2 (Millipore 07-030)|ThyDP	His@ H3K4me2
H3K4me2 (Millipore 07-030)|ThyDN3	His@ H3K4me2
H3K4me2 (Millipore 07-030)|FLDN2b	His@ H3K4me2
H3K4me2 (Millipore 07-030)|FLDN1	His@ H3K4me2
H3K(9,14)Ac (Millipore 06-599)|ThyDP	His@ H3K9K14ac
H3K(9,14)Ac (Millipore 06-599)|ThyDN3	His@ H3K9K14ac
H3K(9,14)Ac (Millipore 06-599)|FLDN2b	His@ H3K9K14ac
H3K(9,14)Ac (Millipore 06-599)|FLDN1	His@ H3K9K14ac
anti-JNK13|Terminally differentiated neurons (TN)	Oth@ Mapk8
Smc1|Bethyl A301-779A|Embryonic stem cells	Oth@ Smc1a
H3K4me1|Id2-HPC cells induced under myeloid conditions, H3K4me1 ChIP	His@ H3K4me1
H3K4me1|Id2-HPC cells induced under B-cell conditions, Cd19+, 120h, H3K4me1 ChIP	His@ H3K4me1
H3K4me1|Id2-HPC cells induced under B-cell conditions, 48h, H3K4me1 ChIP	His@ H3K4me1
H3K4me1|Uninduced Id2-HPC cells, 0h, H3K4me1 ChIP	His@ H3K4me1
anti-V5 (Abcam, ab15828)|Chromatin IP against V5	Oth@ Epitope tags
RNA Pol II|Embryonic Stem cells	Pol@ RNA Polymerase II
anti-H3K27me3|embryonic hindlimb bud, H3K27me3 ChIP	His@ H3K27me3
anti-H3K27ac|embryonic hindlimb bud, H3K27ac ChIP	His@ H3K27ac
anti-H3K27me3|embryonic forelimb bud, H3K27me3 ChIP	His@ H3K27me3
anti-H3K27ac|embryonic forelimb bud, H3K27ac ChIP	His@ H3K27ac
H3K27ac|Frontal cortex	His@ H3K27ac
H3K4me3|Frontal cortex	His@ H3K4me3
Pol II  8WG16 Covance (Mono)|KH2	Pol@ RNA Polymerase II
anti-PolII(N20) (SantaCruz #sc-899)|ES_PolII_ChIPseq	Pol@ RNA Polymerase II
anti-CTCF (SantaCruz #15914)|TKO_CTCF_ChIPseq	Oth@ Ctcf
TAL1|sc-12984|Ter119+ cells	Oth@ Tal1
H3K9me3|ab8898|G1E cells	His@ H3K9me3
H3K4me1|ab8895|G1E cells	His@ H3K4me1
GATA2|SC-9008|G1E cells	Oth@ Gata2
TAL1|sc-12984|G1E cells	Oth@ Tal1
anti-Gata3 (558686, BD bioscience)|CD8 cells	Oth@ Gata3
anti-Gata3 (558686, BD bioscience)|Double positive cells	Oth@ Gata3
anti-H4K16Ac|E14.5 embryo head	His@ H4K16ac
none (Input)|None|Mouse spleen	InP@ Input control
H3K4me3|Millipore, 05-745|Mouse spleen	His@ H3K4me3
H3K4me1|Abcam, ab8895|Mouse spleen	His@ H3K4me1
none|C2C12 myotubes differentiated for 96h	InP@ Input control
none|Growing C2C12 myoblasts	InP@ Input control
none|ES cells, input	InP@ Input control
PPARgamma|Preadipocyte cell line	Oth@ Pparg
1416 (Benevolenskaya et al.,Mol Cell 18, 623-635)|Kdm5a f/f ES cells	Oth@ Kdm5a
anti-H3K27me3 (Upstate, 07-449)|mouse embryonic stem cells	His@ H3K27me3
RNA Pol II|Preadipocyte cell line	Pol@ RNA Polymerase II
C/EBPdelta|Preadipocyte cell line	Oth@ Cebpd
Mi-2b|Abcam AB72418|Embyonic stem cells	Oth@ Chd4
Lsd1|Abcam AB17721|Embyonic stem cells	Oth@ Kdm1a
HDAC2|Abcam AB7029|Embyonic stem cells	Oth@ Hdac2
HDAC1|Abcam AB7028|Embyonic stem cells	Oth@ Hdac1
anti-H3K27me3 (Millipore,#07-449)|Neuronal Progenitor (NP) Cells RESTko	His@ H3K27me3
anti-H3K27me3 (Millipore,#07-449)|Embryonic Stem Cells (ESCs) RESTko	His@ H3K27me3
STAT5B|T cell	Oth@ Stat5b
STAT5A|T cell	Oth@ Stat5a
anti-H3K4me2|T-helper 2 cells	His@ H3K4me2
anti-H3K27me3|T-helper 2 cells	His@ H3K27me3
Fli1 (santa cruz, cat#sc356X, Lot#L0407)|CD8 cells	Oth@ Fli1
Rabbit IgG|Mouse ES cells	InP@ Input control
none|Doxycycline-induced MEFs	InP@ Input control
anti-JNK13|Terminally differentiated Neurons (TN)	Oth@ Mapk8
anti-NFYA|Neuronal Progenitor (NP) Cells	Oth@ Nfya
anti-JNK13|Neuronal Progenitor (NP) Cells	Oth@ Mapk8
anti-NFYA|Embryonic Stem Cells (ESCs)	Oth@ Nfya
anti-JNK13|Embryonic Stem Cells (ESCs)	Oth@ Mapk8
goat-anti-eGFP, raised against His-tagged full-length eGFP and affinity-purified with GST-tagged full-length eGFP|ESC	Oth@ GFP
HA: mouse monoclonal anti-HA (clone HA-7), Sigma, Catalog A2095 (lot N/A)|mouse ES cells	Oth@ Epitope tags
N/A|mammary epithelial cells	InP@ Input control
H3K27Me3|mammary gland	His@ H3K27me3
Tet1-N|embryonic stem cells	Oth@ Tet1
Tet1-C|embryonic stem cells	Oth@ Tet1
None|Mouse Embryonic Fibroblasts with Dox-inducible Klf4, Sox2 and Oct4 (KSO)	InP@ Input control
p300|Santa Cruz s.c. 585|Embyonic stem cells	Oth@ Ep300
none|Embyonic stem cells	InP@ Input control
H3K27ac|Abcam AB4729|Embyonic stem cells	His@ H3K27ac
Spt5|Santa Cruz Biotechnology anti-Spt5 (H300)|ActivatedBCell_Spt5	Oth@ Supt5
H4K12ac (Millipore 07-595 Lot 1676174)|thioglycollate-elicited peritoneal macrophages	His@ H4K12ac
H4K8ac (Millipore 07-328 Lot 1655221)|thioglycollate-elicited peritoneal macrophages	His@ H4K8ac
H4K5ac (Millipore 07-327, Lot 1682153)|thioglycollate-elicited peritoneal macrophages	His@ H4K5ac
Suz12|Embryonic Stem cells	Oth@ Suz12
anti-H3|AB1791|Embyonic stem cells	His@ H3
H2BK5ac|mouse B cells	His@ H2BK5ac
H3K27ac|mouse B cells	His@ H3K27ac
H3K36me3|mouse B cells	His@ H3K36me3
Pol II (4H8)|mouse B cells	Pol@ RNA Polymerase II
Smc1|Bethyl A300-055A|Mouse embryonic fibroblasts	Oth@ Smc1a
Nipbl|Bethyl A301-779A|Embyonic stem cells	Oth@ Nipbl
Med1/TRAP220|Bethyl A300-793A|Embyonic stem cells	Oth@ Med1
Med12|Bethyl A300-774A|Embyonic stem cells	Oth@ Med12
Smc3|Abcam AB9263|Embyonic stem cells	Oth@ Smc3
H3K4me2|mouse B cells	His@ H3K4me2
embryonic stem cells E14	Unc@ Unclassified
H3K36me3|ab9050|Hematopoietic stem and progenitor cells	His@ H3K36me3
H3K27me3|07-449|Hematopoietic stem and progenitor cells	His@ H3K27me3
H3K4me3|07-474|Hematopoietic stem and progenitor cells	His@ H3K4me3
TBP|Abcam AB818|Embyonic stem cells	Oth@ Tbp
H3K79me2|Abcam AB3594|Mouse embryonic fibroblasts	His@ H3K79me2
E2A.E12(V-18) (sc-349)|E2A-/- pre-pro-B cell	Oth@ Tcf3
STAT6&lt;SantaCruz#sc981&gt;|primary CD4+ T cells from spleen and lymph nodes	Oth@ Stat6
STAT4&lt;SantaCruz#sc486&gt;|primary CD4+ T cells from spleen and lymph nodes	Oth@ Stat4
IgG1|Conditional Myb transformed myeloid cell line	InP@ Input control
N/A|ES-cell derived erythroid progenitors	InP@ Input control
CEBP (Santa Cruz Biotechnologies, sc-150)|Chromatin IP against CEBPb	Oth@ Cebpb
H3K4me3|8580|in vitro polarized Th17 T cells	His@ H3K4me3
H3K4me1 (Vendor: Abcam, cat# ab8895, lot# 721955)|bone marrow-derived macrophages	His@ H3K4me1
PU.1 (Vendor: Santa Cruz, cat# sc-352, lot# F1808)|bone marrow-derived macrophages	Oth@ Spi1
H3K27me3|Mouse embryonic fibroblast	His@ H3K27me3
H3K4me3|Mouse embryonic fibroblast	His@ H3K4me3
anti-H3K27me3|Chromatin IP against H3K27me3	His@ H3K27me3
anti-H3K9me3|Chromatin IP against H3K9me3	His@ H3K9me3
H3K4me3 (#07-473, Millipore)|Total thymocytes	His@ H3K4me3
IgG|Retina, Nrl ko, IgG ChIP	InP@ Input control
Crx|Retina, Nrl ko, Crx ChIP	Oth@ Crx
Crx|Retina, wt, Crx ChIP	Oth@ Crx
H3K4me3|R1 embryonic stem cells	His@ H3K4me3
H3K27me3|Extraembryonic endoderm stem cell	His@ H3K27me3
H3K4me3|Extraembryonic endoderm stem cell	His@ H3K4me3
H3K27me3|Trophoblast stem cells	His@ H3K27me3
H3K4me3|Trophoblast stem cells	His@ H3K4me3
H3K27me3|R1 embryonic stem cells	His@ H3K27me3
H3K4me1|mouse B cells	His@ H3K4me1
H3K4me3 (Abcam ab8580)|Embryonic stem cells	His@ H3K4me3
NFI (H300): sc-5567, SantaCruz Biotechnology|mouse embryonic fibroblasts (MEF)	Oth@ Nfic
H3K4me1 (Abcam ab8895)|Embryonic stem cells	His@ H3K4me1
x-link ChIP input control.  No antibody.|Embryonic stem cells	InP@ Input control
anti-H3K36me3|Neural progenitor cells	His@ H3K36me3
anti-HA (12CA5)|Neural progenitor cells	Oth@ Epitope tags
anti-H3K36me3|Embryonic stem cells	His@ H3K36me3
Suz12|Embyonic stem cells	Oth@ Suz12
Jarid2|Embyonic stem cells	Oth@ Jarid2
IRF4|murine Irf4 deficient CD4+ T	Oth@ Irf4
Embyonic stem cells	Unc@ Unclassified
V6.5 embryonic stem cells	Unc@ Unclassified
H3K9me3 (Up07222)|V6.5 mES cells	His@ H3K9me3
H3K27me3|mouse bone marrow-derived macrophages	His@ H3K27me3
H3K4me3|mouse bone marrow-derived macrophages	His@ H3K4me3
none, whole cell extract	InP@ Input control
Sonicated DNA control	InP@ Input control
none|Frontal Cortex	InP@ Input control
anti-H3K4me1|Spleen red pulp macrophages	His@ H3K4me1
anti-H3K27ac|Neutrophils	His@ H3K27ac
anti-H3K4me1|Neutrophils	His@ H3K4me1
anti-H3K27ac|Monocytes	His@ H3K27ac
anti-H3K4me1|Monocytes	His@ H3K4me1
anti-H3K27ac|Small intestine macrophages	His@ H3K27ac
anti-H3K4me1|Small intestine macrophages	His@ H3K4me1
anti-H3K27ac|Large intestine macrophages	His@ H3K27ac
anti-H3K4me1|Large intestine macrophages	His@ H3K4me1
anti-H3K27ac|Kupffer cells	His@ H3K27ac
anti-H3K4me1|Kupffer cells	His@ H3K4me1
Scl/Tal1|ES cells	Oth@ Tal1
BRD4|G1E_BRD4 +GATA1	Oth@ Brd4
BRD4|G1E_BRD4 G1E	Oth@ Brd4
none|G1ME_GATA1s_ChIP_input	InP@ Input control
none|G1ME_GATA1fl_ChIP_input	InP@ Input control
anti-HA|G1ME_GATA1s_ChIP	Oth@ Epitope tags
anti-HA|G1ME_GATA1fl_ChIP	Oth@ Epitope tags
Input|Spermatocytes	InP@ Input control
none|Cerebellum	InP@ Input control
a-H3K9me3|miwi2HET_SomaticCellsTestis_MACS_H3K9me3	His@ H3K9me3
miwi2HET_SomaticCellsTestis_MACS_inputDNA	InP@ Input control
H3K27me3|KO_ES cells	His@ H3K27me3
H3K27me3|WT_ES cells	His@ H3K27me3
anti-KMD4A antibody|3T3-L1	Oth@ Kdm4a
Anti-GPS2|3T3-L1_GPS2	Oth@ Gps2
Heart	Unc@ Unclassified
Polyclonal rabbit-anti-H3K27me3 (10 g/ChIP)|Th0.Ezh2KO.ChIP-seq	His@ H3K27me3
Polyclonal rabbit-anti-H3K27me3 (10 g/ChIP)|Th0.Ezh2ff.ChIP-seq	His@ H3K27me3
none (Input)|Mouse Embryonic Fibroblasts	InP@ Input control
input|mouse hippocampus	InP@ Input control
Anti-H3K79me3|olfactory epithelium_ChIP-seq	His@ H3K79me3
PARP-1 (rabbit polyclonal anti-PARP, ab6079)|Nucleus accumbens tissue	Oth@ Parp1
p65|BMM_LPS_0120_P65	Oth@ Rela
p65|BMM_LPS_0060_P65	Oth@ Rela
BMAL1|Liver	Oth@ Arntl
CLOCK|Liver	Oth@ Clock
Snf2h|3134 cells	Oth@ Smarca5
monoclonal Brg1|3134 cells	Oth@ Smarca4
wildtype-input	InP@ Input control
anti-H3K4me3|wildtype-h3k4me3	His@ H3K4me3
anti-H3K27me3|wildtype-h3k27me3	His@ H3K27me3
none|C2C12 myotubes, WCE	InP@ Input control
SMRT|liver	Oth@ Ncor2
Pol 2|cell line	Pol@ RNA Polymerase II
cell line	Unc@ Unclassified
TT2	Unc@ Unclassified
none|myotubes_input	InP@ Input control
none|Input_ING1_flag_myoblasts	InP@ Input control
Sin3A|Sin3A_myotubes	Oth@ Sin3a
MLL1|Menin_myoblasts	Oth@ Kmt2a
Menin|Menin_myoblasts	Oth@ Men1
anti-FLAG|ING1_flag_myoblasts	Oth@ Epitope tags
Klf5|mouse ESCs	Oth@ Klf5
Klf4|mouse ESCs	Oth@ Klf4
EZH2|in-house|E14	Oth@ Ezh2
None|None WCE|pro-B cell	InP@ Input control
None|Liver	InP@ Input control
Lab generated rabbit anti-Rbpjl (AN2165/2166)|E17.5 Pancreas	Oth@ Rbpjl
none|female_input	InP@ Input control
H3K27ac|female_NAG1_LF	His@ H3K27ac
H3K27ac|female_NAG1_HF	His@ H3K27ac
H3K27ac|female_WT_LF	His@ H3K27ac
H3K27ac|female_WT_HF	His@ H3K27ac
None|None WCE|mouse heart	InP@ Input control
Tcf1|thymus	Oth@ Tcf7
NR2F2|atria	Oth@ Nr2f2
7438 cells	Unc@ Unclassified
anti-H3K9ac (Millipore, 07-352)|bone marrow dervied macrophages	His@ H3K9ac
H14|NIH3T3_POLIIS5P_UO	Pol@ RNA Polymerase II
H14|NIH3T3_POLIIS5P_LAT	Pol@ RNA Polymerase II
H14|NIH3T3_POLIIS5P_15	Pol@ RNA Polymerase II
H14|NIH3T3_POLIIS5P_03	Pol@ RNA Polymerase II
H5|NIH3T3_POLIIS2P_UO	Pol@ RNA Polymerase II
H5|NIH3T3_POLIIS2P_LAT	Pol@ RNA Polymerase II
H5|NIH3T3_POLIIS2P_15	Pol@ RNA Polymerase II
H5|NIH3T3_POLIIS2P_03	Pol@ RNA Polymerase II
8WG16|NIH3T3_8WG16_LAT	Pol@ RNA Polymerase II
8WG16|NIH3T3_8WG16_15	Pol@ RNA Polymerase II
SRF|NIH3T3_SRF_15	Oth@ Srf
SRF|NIH3T3_SRF_03	Oth@ Srf
POL2	Pol@ RNA Polymerase II
LSD1	Oth@ Kdm1a
SFMBT1	Oth@ Sfmbt1
none (input)	InP@ Input control
anti-H3K4me1	His@ H3K4me1
anti-H3K27ac	His@ H3K27ac
Spt6	Oth@ Supt6
WT_brain_116HG_ChIRP-seq	Unc@ Unclassified
Bethyl|BL4000	Oth@ Nkx2-1
Histone H3 trimethyl Lys4	His@ H3K4me3
NFIB|HfSCs_NFIB_ChIPSeq	Oth@ Nfib
H3K27Ac|Day2 differentiating Teto-Brn2 ESCs, H3K27Ac ChIP	His@ H3K27ac
MEF	Unc@ Unclassified
Millipore 07-449|Sperm	His@ H3K27me3
Millipore 17-614|Sperm	His@ H3K4me3
None|pro-B cell	InP@ Input control
H3K27ac|mouse_E13.5_HL	His@ H3K27ac
H3K27ac|mouse_E13.5_FL	His@ H3K27ac
H3K27ac|mouse_E12.5_HL	His@ H3K27ac
H3K27ac|mouse_E12.5_FL	His@ H3K27ac
mouse_E13.5_HL	Unc@ Unclassified
mouse_E13.5_FL	Unc@ Unclassified
